,2021-12-30,今年以来612家公司违规受罚 近两成个股已被风险警示,大众证券报
31,2021-11-18,2021商越科技年度峰会 | 越向未来——新技术重构采购价值,凤凰网
32,2021-11-18,公牛集团收回4000万元募集资金现金管理产品本金,乐居财经
33,2021-11-18,电力设备专题报告(16)：南网发布“十四五”规划：总量温和增长 重心是解决新能源问题、配用电侧建设,新浪
34,2021-11-17,家用电器行业周报：地产政策或调整 重视家电投资机会,新浪
35,2021-11-16,公牛集团：控股股东股权结构变更 控制人变化,Wind
36,2021-11-16,零售、轻工日化行业动态：10月社零同比+4.9% 消费延续回暖态势,新浪
37,2021-11-16,卖插座的“公牛”为何被判定垄断？“全国统一零售价”不是挺正常的？,新浪
38,2021-11-15,公牛集团：存货增加主要系为应对公司转换器产线搬迁，适当增加部分备货所致,Wind
39,2021-11-15,公牛集团：收到的补助系慈溪市政府根据慈政办发〔2021〕9号文件发放的企业培育奖励,每日经济新闻
40,2021-11-15,公牛集团：存货增加主要系为应对公司转换器产线搬迁，适当增加部分备货所致,每日经济新闻
41,2021-11-06,"垄断罚没近3亿、市值跌破千亿,“插座茅”公牛不牛了！",Ofweek
42,2021-11-05,转售价格维持的历史与未来|蔚为大观,经济观察报
43,2021-11-04,【东吴轻工张潇团队】Q3基金持仓点评：轻工板块延续低配，细分赛道龙头及低估值公司受机构青睐,张潇的轻工消费洞察
44,2021-11-04,高瓴资本3季度只减仓不加仓：安全边际、成长性重定位,Wind
45,2021-11-04,高瓴资本三季度只减仓不加仓，安全边际与成长性需重新定位,Wind
46,2021-11-02,首创证券维持公牛集团买入评级：Q3 经营表现符合预期，盈利能力稳健,每日经济新闻
47,2021-11-02,公牛集团(603195)季报点评：照明业务释放发展动能 净利率逐步修复,新浪
48,2021-11-02,高瓴4大调仓逻辑曝光，接下来看好这些方向,Wind
49,2021-11-01,陈歆磊：从公牛电器被罚探讨转售价格限制,新浪
50,2021-11-01,开源证券维持公牛集团买入评级：高增速发展，省内外市场同步扩张,每日经济新闻
51,2021-11-01,高瓴资本三季报A股持仓全扫描,Wind
52,2021-10-31,高瓴大举减持！公牛集团公布三季报，明星基金经理加仓 减持股份,新浪
53,2021-10-30,西部证券给予公牛集团增持评级，2021年三季报点评，近期获4份券商研报关注，目标均价涨幅20.56%,每日经济新闻
54,2021-10-30,公牛集团(603195)：21Q3业绩符合预期 加码新品推广,新浪
55,2021-10-30,公牛集团：业绩基本符合预期，民用电工龙头稳健发展【华西轻工徐林锋团队】,轻工锋尚
56,2021-10-30,国金证券给予公牛集团增持评级，业绩短期承压，长期增长能力依然优异,每日经济新闻
57,2021-10-30,国金证券：给予公牛集团增持评级,证券之星
58,2021-10-29,华西证券给予公牛集团买入评级：业绩基本符合预期，民用电工龙头稳健发展,每日经济新闻
59,2021-10-29,中泰证券维持公牛集团买入评级，2021三季报点评：靴子落地，稳健持续,每日经济新闻
60,2021-10-29,安信证券维持公牛集团买入-A评级：Q3单季度盈利能力保持稳定,每日经济新闻
61,2021-10-29,安信证券：给予公牛集团买入评级，目标价位190.0元,证券之星
62,2021-10-29,公牛集团：其他收益不包含投资收益，主要是政府补助,每日经济新闻
63,2021-10-29,速览公牛、得邦等10家照明相关企业三季报，净利最高增长2240%,LED在线
64,2021-10-29,公牛集团：第三季度营收增速降至个位数，净利润下滑 | 季报拆解 盈利能力下降,乐居财经
65,2021-10-29,被罚3个亿！“插座茅”三季报净利下跌 谢治宇强势加仓,证券之星
66,2021-10-29,公牛集团(603195)：经营稳健 盈利能力稳定 竞争优势持续增强,新浪
67,2021-10-29,被罚3个亿，千亿“插座茅”净利跌了！高瓴大举减持，谢治宇强势加仓 盈利能力下降,Wind
68,2021-10-28,公牛集团第三季度净利下滑1.3%,北京商报
69,2021-10-28,公牛集团三季度净利7.85亿元降1.3%，政府补助达3.36亿，刚遭反垄断罚款2.95亿,搜狐
70,2021-10-28,公牛集团Q3净利润同比下滑1.30% 反垄断罚款近3亿元,贝壳财经
71,2021-10-28,公牛集团公布三季报 前三季净利增加37.98%,新浪
72,2021-10-28,北向资金逆市加仓超71亿，贵州茅台获大幅净买入13亿元,Wind
73,2021-10-28,公牛集团拟回购注销262.5万元激励股权,乐居财经
74,2021-10-28,公牛集团拟回购注销166.4万元股份,乐居财经
75,2021-10-28,图解公牛集团三季报：第三季度单季净利润同比减1.30%,证券之星
76,2021-10-28,公牛集团：第三季度净利润约7.85亿元，同比下降1.3%,每日经济新闻
77,2021-10-28,公牛集团：前三季度净利22.06亿元 同比增长37.98%,财联社
78,2021-10-28,公牛集团：三季度净利润7.85亿元，同比下降1.30%,Wind
79,2021-10-28,公牛集团：前三季度净利润同比增长37.98%,Wind
80,2021-10-26,北向资金再度净买入超8亿，连续9日抢筹宁德时代累计加仓超55亿,Wind
81,2021-10-25,南财脱水研报｜家电板块股票迎久违大涨，双十一叠加估值低位，防御价值凸显,21经济网
82,2021-10-25,公牛集团跌5.34% 中信证券海通证券近4个月前唱多,中国经济网
83,2021-10-25,家电行业周报21W43：房地产税落地 关税豁免与双十一新品关注,新浪
84,2021-10-22,家电股集体飙涨 机构：预计板块整体将迈入修复阶段,第一财经
85,2021-10-20,“公牛”被罚后，28家单项冠军、110家“小巨人”都来听课了,新浪
86,2021-10-19,家用电器行业周报：三季报陆续披露 看好龙头公司竞争优势扩大,新浪
87,2021-10-19,家用电器行业2021W42周度研究：三季度大家电数据点评,新浪
88,2021-10-18,公牛集团：渠道垄断红利消退,证券市场周刊
89,2021-10-18,公牛集团成立智能科技公司，注册资本1000万,Wind
90,2021-10-18,公牛集团于浙江新设智能科技公司，注册资本1000万元,乐居财经
91,2021-10-18,飞泰电子与公牛集团、拼多多等卷入侵害外观设计专利权纠纷,乐居财经
92,2021-10-18,轻工制造行业周报本周专题：轻工制造行业21年三季报业绩前瞻,新浪
93,2021-10-15,公牛集团：2021年三季报将于10月29日披露,每日经济新闻
94,2021-10-15,公牛集团：公司2021年上半年投资收益为9640万，主要为理财信托等投资收益,Wind
95,2021-10-12,家用电器行业研究周报：9月及Q3小家电数据点评,新浪
96,2021-10-12,反垄断处罚对公牛集团有何影响？,Ofweek
97,2021-10-12,公牛集团被罚3亿，企业如何避免陷入“垄断雷区”？,Ofweek
98,2021-10-11,招商家电｜家电行业2021年三季报业绩前瞻：山重水复疑无路、柳暗花明又一村,招商家电研究
99,2021-10-11,轻工制造行业周报本周专题：不利因素或边际缓解 探讨轻工出口链投资机会,新浪
100,2021-10-09,公牛集团：反垄断后无法控制终端价，超额利润还能维持吗？,证券之星
101,2021-10-09,计算机应用行业点评：挂钩收入大额罚款开启 互联网治理时代来临,新浪
102,2021-10-09,“插座一哥”公牛集团的“垄断生意”：借聊天群管控价格 被处近3亿元罚款,新浪
103,2021-10-09,又一巨头被罚！互联网反垄断“第二枪”落地,Wind
104,2021-10-08,公牛集团：目前业务主要覆盖电连接、智能电工照明、数码配件三大赛道,每日经济新闻
105,2021-10-08,2021年三季度A股上市公司舆情榜,大众证券报
106,2021-10-08,被罚近3亿！营收增速放缓，公牛集团能否保住“插座一哥”优势 盈利能力下降,投资时报
107,2021-10-08,"3亿罚金，让""插座一哥""公牛跌出""千亿市值俱乐部""",华尔街见闻
108,2021-10-08,家用电器行业研究周报：各家电品类近期上新产品总结,新浪
109,2021-10-07,北上资金加速买买买！前三季度净买入3000亿,Wind
110,2021-10-05,“公牛”被罚3亿，阮氏兄弟服了！,新浪
111,2021-10-05,“潮经济”周报｜爱奇艺、腾讯视频、优酷视频均发布取消超前点播；清华首个虚拟学生华智冰露脸唱歌；首个治疗新冠口服药或将诞生,21世纪经济报道
112,2021-10-03,市值跌破千亿，被罚2.9亿，公牛集团该如何破局？,深水财经社
113,2021-10-03,靴子落地！公牛集团因垄断被罚2.95亿元 还存在一隐忧,深水财经社
114,2021-10-03,3亿罚单背后：群雄环伺，叠加内部忧虑，公牛集团不确定性还很多,搜狐
115,2021-10-02,海运费跳水 天猫淘宝调整双十一交易流程｜一周电商大事,亿邦动力
116,2021-10-01,公牛为何这么牛？市值980亿的“插座茅”栽了个跟头,凤凰网
117,2021-09-30,轻工行业：静待消费龙头边际改善机遇,新浪
118,2021-09-30,逾2.94亿元！公牛集团因违反反垄断法被处罚,中国经济网
119,2021-09-30,公牛集团垄断长达六年，“插座大王”如何控制经销商？,搜狐
120,2021-09-30,公牛集团被罚近3亿背后：对经销商实施控价，为何构成垄断？,奥一网
121,2021-09-30,轻工行业2021年中报综述：估值收敛后关注龙头吸引力回升,新浪
122,2021-09-30,每经热评丨要罚公牛集团 更要鼓励竞争防垄断,每经头条
123,2021-09-30,公牛被罚近3亿，然后呢？,美股研究社
124,2021-09-30,中企植根非洲促进民生改善,中国贸易报
125,2021-09-29,公牛被罚2.95亿元 今年9月份65家公司违规受罚 其他违规处罚,大众证券报
126,2021-09-29,“插座第一股”为垄断付出了3亿代价,乐居财经
127,2021-09-29,CEO自习室：快手高级副总裁严强将离职 公牛回应高额罚款 董监高成员变化,亿邦动力
128,2021-09-29,同因垄断被罚，为何公牛被罚3%而不是4%？,财经网
129,2021-09-29,公牛集团因垄断被罚三个亿，网友：确实贵,中金在线
130,2021-09-29,垄断被罚，业绩疲软，公牛集团正在走下坡路 盈利能力下降,中金在线
131,2021-09-29,公牛集团：借款主要系密切银企合作，合理利用低成本资金，公司资金不存在被大股东挪用的情况,每日经济新闻
132,2021-09-29,大公司早报｜快手新架构进行商业化等业务闭环 公牛称尽快交3亿罚款,观察者网
133,2021-09-29,轻工造纸行业2021年中报回顾：家居印证格局优化 包装关注成本转嫁能力,新浪
134,2021-09-29,公牛“太壮”，涉嫌垄断被罚近3亿 其他违规处罚,搜狐
135,2021-09-29,3亿罚款驯服“公牛”,斑马消费
136,2021-09-29,多种方式限价管控销售 公牛集团违反《反垄断法》被重罚近3亿元 其他违规处罚,新快报
137,2021-09-29,再“牛”的企业也不能搞垄断,经济日报
138,2021-09-29,昔日“插座大王”，出事了！涉及垄断，这家千亿市值巨头遭重罚！收近3亿元“天价罚单”→ 其他违规处罚,央视财经
139,2021-09-28,反垄断被罚3亿！靠卖插座撑起千亿市值，公牛有多赚钱？,搜狐
140,2021-09-28,历时4月，公牛集团反垄断被罚近3亿,钛媒体
141,2021-09-28,公牛集团被罚2.95亿！“插座大王”老板娘曾多次借款给经销商,野马财经
142,2021-09-28,被罚近3亿元！反垄断利剑挥向公牛，“插座一哥”的地位还稳吗？丨C位,第一财经
143,2021-09-28,约2.6亿政府补助款没焐热，就被罚款近3亿元 公牛集团“垄断门”案终结,经济观察网
144,2021-09-28,公牛集团违反反垄断法被重罚近3亿 连续六年通过经销商管控产品价格 其他违规处罚,长江商报
145,2021-09-28,反垄断之下，公牛护城河还稳吗？,格隆汇
146,2021-09-28,公牛集团因价格垄断遭罚款约3亿元！其证券部称上半年已整改 金融监管处罚,科技新闻网
147,2021-09-28,经济日报评公牛集团被罚：搞垄断，再“牛”的企业也不行,经济日报
148,2021-09-28,联商头条：阿里旗下App接入微信支付 深圳文和友改名,联商网
149,2021-09-28,公牛集团回应被罚款近3亿：不复议 尽快交罚款,快科技
150,2021-09-28,被罚约2.95亿元！“插座一哥”公牛集团反垄断案结案,中国房地产网
151,2021-09-28,公牛集团称3亿罚单尽快交、不复议，今日收跌0.85%,乐居财经
152,2021-09-28,被罚 3 亿！插座巨头踩线反垄断，创始人兄弟身家超 800 亿,ZAKER
153,2021-09-28,“插座大王”公牛垄断被罚近3亿！毛利率超iPhone,凤凰网
154,2021-09-28,公牛将缴纳近3亿罚款 上半年净利达14亿元,电缆网
155,2021-09-28,一批公司被查，风险教育再度上演！,Wind
156,2021-09-28,公牛集团“垄断门”结案：被处近3亿元罚款 借聊天群管控价格,中国经营网
157,2021-09-28,“插座茅”回应3亿罚单：不复议，尽快交罚款,Wind
158,2021-09-28,千亿巨头违反反垄断法 公牛集团：罚款或将影响2021年利润 | 公司问答,第一财经
159,2021-09-28,千亿巨头违反反垄断法 公牛集团：罚款或将影响2021年利润,第一财经
160,2021-09-28,公牛集团对旗下产品实行价格管控，“插座一哥”被反垄断处罚2.9亿,钛媒体
161,2021-09-28,叶飞“自杀式举报”后，这家A股高管被“一锅端”,Wind
162,2021-09-28,公牛集团(603195.SH)跌逾1%，因违反反垄断法被罚近3亿元,证券之星
163,2021-09-28,公牛集团：公司充电桩产品尚在研发中,Wind
164,2021-09-28,公牛集团：目前限电未对公司生产产能造成重大影响,Wind
165,2021-09-28,公牛集团：目前限电未对公司生产产能造成重大影响,每日经济新闻
166,2021-09-28,A股“插座大王”遭重罚，公牛集团违反《反垄断法》被罚2.95亿元 其他违规处罚,资本邦
167,2021-09-28,A股异动 | 公牛集团(603195.SH)涨2% 机构料本次罚款整体对利润影响有限,格隆汇
168,2021-09-28,国金证券：维持公牛集团(603195.SH)“增持”评级 三大业务板块长期增长可期,智通财经
169,2021-09-28,股市动态|财经早资讯：国家电网回应“拉闸限电”；公牛集团被罚2.95亿元,财经网
170,2021-09-28,每日理财观察：“停电潮”愈演愈烈，一大批上市公司预警,Wind
171,2021-09-28,天价！千亿“插座茅”遭重罚！ 其他违规处罚,中国基金报
172,2021-09-28,盘前情报丨多家公司公告限电相关影响；公牛集团被罚2.9亿，盐湖股份被罚160万,21世纪经济报道
173,2021-09-28,针对“拉闸限电”，国家电网回应来了；辉瑞启动新冠口服药预防感染效果Ⅱ/Ⅲ期试验；公牛集团因违反反垄断法被罚近3亿元,每经头条
174,2021-09-28,每日财报|海航公布重整草案 公牛集团因垄断被罚2.9481亿,搜狐
175,2021-09-28,早报 (09.28) | 鲍威尔警告未来几个月通胀可能继续高企，供应瓶颈是元凶；千亿巨头公牛集团违反反垄断法，被罚近3亿,格隆汇
176,2021-09-28,【中证盘前】国家电网：最大可能避免出现拉闸限电情况；千亿巨头违反反垄断法，被罚近3亿；翻倍牛股鹏欣资源涉嫌信披违规，被立案调查,中证报
177,2021-09-28,盘前必读丨央行例会透露这些重磅信息，国家电网最新表态来了,第一财经
178,2021-09-28,全球出现“能源荒”，贵州茅台冲击涨停板 | 财经日日评,吴晓波频道
179,2021-09-28,公牛集团因垄断行为被罚近3亿 公司法务总监曾公开传授规避反垄断法实现控价,财联社
180,2021-09-27,千亿市值“插座茅”，违反《反垄断法》收近3亿元“天价罚单”,中证报
181,2021-09-27,因垄断被罚近3亿元，公牛集团能否稳坐“插座一哥”地位,北京商报
182,2021-09-27,传统行业反垄断并不遥远：“插座一哥”公牛集团被罚近3亿,新京报
183,2021-09-27,公告精选：公牛集团因违反反垄断法被罚约2.95亿元；多家上市公司回应限电影响,e公司
184,2021-09-27,刚刚，反垄断重锤砸向千亿巨头！“插座一哥”被罚近3亿！公司火速回应,中国财富网
185,2021-09-27,2.95亿反垄断处罚曝光：公牛集团建QQ、钉钉群管控价格，涉及所有产品,时代周报
186,2021-09-27,罚款近3亿！A股“插座大王”遭反垄断调查结果出炉，创始人兄弟身家曾超900亿 其他违规处罚,每日经济新闻
187,2021-09-27,因违反反垄断法 公牛集团收近3亿元“天价罚单”,新浪
188,2021-09-27,靴子落地！公牛集团因垄断被罚2.95亿元 还存在一隐忧,搜狐
189,2021-09-27,突发！公牛集团罚3亿，盐湖股份罚160万,新浪
190,2021-09-27,A股插座巨头踩线反垄断，被罚近3亿！年内股价高点回调30%,Wind
191,2021-09-27,晚间重要公告2021年9月27日星期一,Wind
192,2021-09-27,公牛集团因违反反垄断法被罚近3亿！称目前生产经营情况正常,奥一网
193,2021-09-27,反垄断调查“靴子落地”，公牛集团被罚近3亿 它究竟做了什么,每日经济新闻
194,2021-09-27,刚刚！A股插座巨头踩线反垄断，被罚近3亿！年内股价高点回调30%，明星机构仍扎堆看好,证券时报
195,2021-09-27,千亿巨头违反反垄断法，被罚近3亿！相当于净利13%，公司最新回应来了！,e公司
196,2021-09-27,公牛集团回应“被罚2.95亿元”：已结案，对经营没有重大影响,搜狐
197,2021-09-27,9月27日鹏欣资源、公牛集团等10家公司公告出现利空,证券之星
198,2021-09-27,踩线反垄断！去年刚上市的公牛集团被罚2.95亿元，相当于上年净利润12%,21世纪经济报道
199,2021-09-27,晚间公告｜9月27日这些公告有看头,第一财经
200,2021-09-27,公牛集团因违反反垄断法被罚近3亿元，占公司最近一期经审计净利润12.74%,华尔街见闻
201,2021-09-27,市场监管总局发布公牛集团股份有限公司达成并实施垄断协议案行政处罚决定书 其他违规处罚,市场监管总局
202,2021-09-27,公牛集团因垄断行为被罚款2.95亿元,质量新闻网
203,2021-09-27,“插座一哥”公牛集团违反反垄断法被罚2.95亿元，占上半年归母净利润的20.74%,搜狐
204,2021-09-27,突发！1000亿巨头发布重要公告，被罚款近3亿,每日经济新闻
205,2021-09-27,公牛集团因违反反垄断法被罚2.95亿元 为最近一期净资产的3.23%,中华网
206,2021-09-27,快讯丨公牛集团违反《反垄断法》罚款2.9481亿元 为2020年境内销售额3%,财经网
207,2021-09-27,公牛集团因反垄断被罚近3亿 股价较年内高点跌逾30%,证券之星
208,2021-09-27,反垄断调查“靴子”落地 公牛集团全面整改促发展,中证网
209,2021-09-27,下午突发|贵州茅台逆市大涨9.5% 公牛集团因违反反垄断法被罚近3亿元,鲸平台
210,2021-09-27,公牛集团违反反垄断法被罚2.95亿元，为境内销售额3%,乐居财经
211,2021-09-27,每经17点|国务院：禁止用人单位因女职工生育恶意调岗；公牛集团因违反反垄断法被罚近3亿元；黄河发生2021年第1号洪水,每日经济新闻
212,2021-09-27,公牛集团：因违反反垄断法，被罚款超2.9亿元,腾讯网
213,2021-09-27,违反反垄断法！公牛集团收到行政处罚决定书 被罚款2.9481亿元,快科技
214,2021-09-27,公牛集团：因违反反垄断法被罚2.95亿元,金融界
215,2021-09-27,反垄断调查“靴子”落地 公牛全面整改促发展,证券时报网
216,2021-09-27,公牛集团：因违反反垄断法被罚2.9亿元,第一财经
217,2021-09-27,公牛集团：因违反反垄断法被罚2.9481亿元,e公司
218,2021-09-27,公牛集团：因违反反垄断法被处2.9481亿元罚款,贝壳财经
219,2021-09-27,公牛集团因违反反垄断法被罚近3亿元,格隆汇
220,2021-09-27,公牛集团：收浙江证监局行政处罚决定书 金融监管处罚,Wind
221,2021-09-27,轻工制造行业周报：“双控”下纸企部分停机检修 关注后续供给端变化 探寻美国造纸业在长期环保趋势下的发展,新浪
222,2021-09-23,Open Euler欧拉发布在即，国产软件闻风起舞,Wind
223,2021-09-23,华为又一操作系统将发布，概念龙头闻风20CM涨停,Wind
224,2021-09-18,公牛集团申请“公牛魔盒”等科学仪器类商标,乐居财经
225,2021-09-14,公牛集团：上下游议价能力强 渠道优势明显 成本费用控制能力强,新浪
226,2021-09-10,公牛集团：充电桩产品还在研发中,每日经济新闻
227,2021-09-08,【大NEW说大咖面对面】公牛集团曹鹏：数据中心末端配电“应需而变”,中国IDC圈
228,2021-09-06,家用电器2021W36周度研究行业研究周报：小家电企业非电产品现状,新浪
229,2021-09-03,公牛集团：公司目前没有研发上市的太阳能电板产品,每日经济新闻
230,2021-09-03,家用电器行业深度：乘风破浪的扫地机 行业篇,新浪
231,2021-09-02,公牛集团：电连接业务是公司核心业务之一，公司推出了新能源汽车充电枪产品,每日经济新闻
232,2021-09-02,公牛集团：公司顺应消费趋势布局了墙壁式无线WIFI,财联社
233,2021-08-30,轻工行业9月投资策略：消费属性标的配置价值有所回升,新浪
234,2021-08-30,北向资金连续6日净买入累计加仓近200亿，继续大手笔加码新能源股,Wind
235,2021-08-30,家电行业周报21W35：一张图复盘科沃斯扫地机器人 关注家电低估值修复机会,新浪
236,2021-08-25,飞泰电子状告公牛集团、拼多多等，系侵害外观设计专利权纠纷 诉讼纠纷,乐居财经
237,2021-08-24,公牛集团(603195)：新老业务并进 渠道开拓进取,新浪
238,2021-08-24,公牛集团：6.8亿借款的阳谋,乐居财经
239,2021-08-23,公牛集团：6.8亿借款的“阴谋”｜中报风云51,乐居财经
240,2021-08-23,家用电器行业研究周报：疫情影响下 主要家电市场渠道结构变化,新浪
241,2021-08-23,轻工制造行业周报：复盘亚洲个护龙头尤妮佳的成长之路,新浪
242,2021-08-23,【银河轻工陈柏儒】公司点评丨公牛集团 (603195)：21H1营收业绩同步高增，品类双轮驱动与B端渠道拓展表现亮眼,中国银河证券研究
243,2021-08-21,家用电器行业周报：7月住宅竣工数据持续向好 白电需求明显回暖,华福证券有限责任公司
244,2021-08-21,公牛集团(603195)2021年中报点评：三大赛道业绩亮眼 民用电工龙头稳步前行,新浪
245,2021-08-21,公牛集团||渠道与品类拓展加速业绩释放，盈利能力逆势提升,吕明可选消费研究
246,2021-08-20,【东兴轻工】公牛集团：全渠道开拓顺利，成长确定性增强,新浪
247,2021-08-20,东吴证券：维持公牛集团(603195.SH)“买入”评级 目标价238元,智通财经
248,2021-08-20,东吴证券给予公牛集团买入评级，2021年中报点评，近期获13份券商研报关注，目标均价涨幅26.25%,每日经济新闻
249,2021-08-20,公牛集团：公司充电枪目前主要在电商平台销售,每日经济新闻
250,2021-08-20,公牛集团：公司基于数码线下渠道优势，拓展了手机电池、干电池等补充品类,每日经济新闻
251,2021-08-20,西部证券维持公牛集团增持评级，2021年中报点评：渠道品类拓展，业绩稳步增长,每日经济新闻
252,2021-08-20,每日理财观察：7月沪深两市日均交易量环比双增,Wind
253,2021-08-20,三雄极光：赔了夫人又折兵 | 中报风云34,和讯
254,2021-08-19,进一步深化渠道变革 公牛集团上半年净利润增长76.85%,证券日报网
255,2021-08-19,裘国根、邓晓峰、冯柳、林利军等私募大佬持仓动向,Wind
256,2021-08-19,裘国根出手，新进这些股！邓晓峰加仓纳思达、减持爱博医疗，附股 减持股份,和讯
257,2021-08-19,裘国根出手，新进这些股！邓晓峰、冯柳、林利军等私募大佬投资动向曝光,中国基金报
258,2021-08-19,券商首次关注5股并给予买入评级（8月19日）,Wind
259,2021-08-19,180股获券商买入评级，旺能环境目标涨幅达79.35%,Wind
260,2021-08-18,公牛集团(603195)：全渠道协同发展持续推进 充分发挥产品研发创新优势,新浪
261,2021-08-18,东方证券维持公牛集团增持评级：产品创新、全渠道深化持续推进，盈利能力稳步改善,每日经济新闻
262,2021-08-18,首创证券给予公牛集团买入评级：产品渠道精耕细作，净利率逆势提升,每日经济新闻
263,2021-08-18,天风证券维持公牛集团买入评级：三大赛道精耕细作，ToB渠道开拓表现亮眼,每日经济新闻
264,2021-08-18,公牛集团(603195)：Q2净利环比+34% 净利率持续提升,新浪
265,2021-08-18,围绕三大业务精耕细作 公牛集团上半年营收净利双增长,上证报
266,2021-08-18,公牛集团发半年报股价涨3.93% 净利增速超营收增速,中国经济网
267,2021-08-18,简评爱博医疗、安图生物、公牛集团,证券之星
268,2021-08-18,公牛集团(603195)：业绩符合预期 成长确定性高,光大证券
269,2021-08-18,西南证券维持公牛集团持有评级，2021年半年报点评：多品类协同发力，盈利能力持续释放,每日经济新闻
270,2021-08-18,公牛集团(603195)：收入表现优异 渠道持续深化 成长确定性增强,新浪
271,2021-08-18,公牛集团(603195)：降本提效显能力 新品类有望开启新成长,国金证券股份有限公司
272,2021-08-18,公牛集团股价涨5.2% 现报184.82元,乐居财经
273,2021-08-18,中国银河维持公牛集团推荐评级：21H1营收业绩同步高增，品类双轮驱动与B端渠道拓展表现亮眼,每日经济新闻
274,2021-08-18,公牛集团：因股利分配致筹资活动现金流降122.31%丨中报拆解 运营能力下降,乐居财经
275,2021-08-18,公牛集团、三雄极光等五家企业半年度业绩一览,LED在线
276,2021-08-18,“小插座”做成“大生意”，公牛集团营收净利双增的逻辑在哪？,美股研究社
277,2021-08-18,平平无奇的“小插座”，堆出千亿市值的公牛集团,美股研究社
278,2021-08-18,公牛集团：数码配件业务收入降10%至1.74 亿元丨中报拆解 盈利能力下降,乐居财经
279,2021-08-18,家用电器行业2021W33周观点：从电商数据看小米系家电品牌及其智能生态+,新浪
280,2021-08-18,公牛集团：上半年净利同比增加76.85%，B端渠道销售收入同比增346%,中国房地产网
281,2021-08-18,中泰证券：维持公牛集团(603195.SH)“买入”评级 受益装饰渠道综合化转型增长,智通财经
282,2021-08-18,国金证券维持公牛集团增持评级：降本提效显能力，新品类有望开启新成长,每日经济新闻
283,2021-08-18,民生证券维持公牛集团推荐评级，2021年度中报点评：渠道建设多点开花，盈利能力逆势提升,每日经济新闻
284,2021-08-18,华西证券维持公牛集团买入评级：盈利表现靓丽，民用电工龙头加快多元渠道与品类拓展,每日经济新闻
285,2021-08-18,公牛集团(603195)：收入增长强劲 持续降本增效,新浪
286,2021-08-18,公牛集团：盈利表现靓丽，民用电工龙头加快多元渠道与品类拓展【华西轻工徐林锋团队】,轻工锋尚
287,2021-08-18,千亿市值插座巨头2021上半年营收增长41.5%，净利润增长76.85%,亿欧网
288,2021-08-17,公牛集团：2021年半年度净利润约14.21亿元，同比增加76.85%,每日经济新闻
289,2021-08-17,公牛集团2021年上半年净利上涨76.85%,北京商报
290,2021-08-17,公牛集团：投资活动现金流骤降105.3%至9278.7万元丨中报快讯 运营能力下降,乐居财经
