,2021-12-31,晶盛机电：公司正加快推进第三代半导体材料碳化硅衬底片的产业化布局，已成功生长出6英寸碳化硅晶体,每日经济新闻
204,2021-10-19,深度*行业*半导体行业周报：三季报业绩普遍高增长 台积电表示产能紧张延续至2022全年,新浪
205,2021-10-19,先进制造：“十四五”风电下乡50GW 零部件及主机龙头持续受益,新浪
206,2021-10-18,国元证券维持晶盛机电买入评级，晶盛机电事件点评报告：受益硅片厂商扩产，三季度业绩表现优异,每日经济新闻
207,2021-10-18,【国金半导体】晶盛机电点评：业绩超预期，在手订单饱满！,搜狐
208,2021-10-18,深度*行业*机械设备行业周报：能源短缺背景下绿电前景广阔 能源结构转型利好锂电、光伏设备,新浪
209,2021-10-18,民生证券：维持晶盛机电(300316.SZ)“推荐”评级 光伏设备显著放量 推动业绩快速增长,智通财经
210,2021-10-18,半导体周跟踪：三季报陆续披露 高增长逻辑再次兑现,新浪
211,2021-10-18,民生证券维持晶盛机电推荐评级，晶盛机电21年三季报业绩预告点评：Q3业绩环比高增，充沛订单提高业绩弹性,每日经济新闻
212,2021-10-17,机械行业周报：第一期风光大基地已开工 持续推荐光伏风电设备,新浪
213,2021-10-17,机械设备行业跟踪周报：持续看好高景气度的光伏设备行业 国产机床龙头业绩持续超预期 建议重点关注,新浪
214,2021-10-17,光伏板块持续走强，晶澳科技涨幅高达20.23%「光伏周评榜」,华夏时报
215,2021-10-17,光伏10月景气研判：蓄势上扬,新浪
216,2021-10-15,101股获买入评级 最新:爱 美 客,中财网
217,2021-10-15,东吴证券：给予晶盛机电买入评级,证券之星
218,2021-10-15,晶盛机电三季报净利预增125%，光伏业务订单量大幅增长,阿尔法工场
219,2021-10-15,晶盛机电(300316)：收入确认有所加速 三季度业绩超预期,新浪
220,2021-10-15,机械行业2021年三季报业绩前瞻：Q3整体业绩符合预期 建议关注细分赛道龙头,新浪
221,2021-10-15,大族激光等六家LED相关企业前三季业绩预告出炉,LED在线
222,2021-10-15,晶盛机电(300316)点评：业绩超预期 在手订单饱满,国金证券股份有限公司
223,2021-10-15,晶盛机电(300316)：三季报业绩超预期；订单高增、业绩提速-浙商机械,新浪
224,2021-10-15,招财日报2021.10.15｜中兴通讯/汇量科技/晶盛机电三季度业绩超预期,招银国际
225,2021-10-14,晶盛机电前三季净利预增105%-125%,上证报
226,2021-10-14,晶盛机电：前三季度预计净利润同比增长105.0%~125.0%,Wind
227,2021-10-14,晶盛机电(300316.SZ)预计前三季度归母净利同比增105%至125%,智通财经
228,2021-10-14,晶盛机电：预计第三季度归母净利润同比增长91.34%–133.68%,36氪
229,2021-10-14,晶盛机电(300316.SZ)第三季度预盈4.73亿–5.78亿元 同比增长91.34%-133.68%,格隆汇
230,2021-10-14,晶盛机电：前三季度净利预增105%–125% 下游硅片厂商积极扩产,e公司
231,2021-10-14,新能源集体爆发，晶盛机电、科达利等多股涨停，新能源主题ETF（516580）收涨1.16%,资本邦
232,2021-10-14,ETF严选 | 晶盛机电、明阳智能涨超10%！机械ETF(516960)今日上涨0.88%,资本邦
233,2021-10-14,晶盛机电、明阳智能涨超10%，碳中和50ETF（159861）涨超1.5%,资本邦
234,2021-10-14,A股午盘综述：指数企稳下题材股炒作热情重燃，煤、电、钢触底反弹,Wind
235,2021-10-13,能耗双控对光伏行业影响分析：双控政策下光伏短期或将承压 长期向好趋势不变,新浪
236,2021-10-13,晶盛机电：截至目前公司生产尚未受到“双控”政策的影响，目前生产经营正常,每日经济新闻
237,2021-10-13,晶盛机电：宁夏鑫晶盛电子材料公司的建设工作有序推进中,每日经济新闻
238,2021-10-13,晶盛机电：收购应用材料下属公司交易预计将在6个月左右完成,Wind
239,2021-10-08,节后首日A股光伏板块蒸发860亿，产业链短时难熬,21世纪经济报道
240,2021-10-08,机械设备行业研究周报：画龙还需点睛 机器视觉行业前景广阔,新浪
241,2021-10-08,电力设备行业第40周周报：全国已有8省调整电价 光伏供应链限电限产缺料加剧,新浪
242,2021-10-05,国产半导体设备商晶盛机电如何抢回80%中国市场？,Ofweek
243,2021-09-28,北向资金节前连续三日加仓累计净买入90亿，东方财富净买入超6亿元,Wind
244,2021-09-28,打造半导体材料 装备领先企业,证券时报
245,2021-09-27,晶盛机电：MiniLED等加速发展，蓝宝石打开应用新市场,LED在线
246,2021-09-27,机械设备行业研究周报：懒人经济下科技创新 扫地机器人长期逻辑坚定,新浪
247,2021-09-27,电力设备行业第39周周报：1-8月全国光伏新增装机22GW 光伏供应链涨势未止,新浪
248,2021-09-26,机械设备行业周报：建议加大配置高景气的锂电设备赛道以及Q3环比改善个股,新浪
249,2021-09-26,电气设备行业周报：整县推进稳步进行 蔚来发布三元铁锂标准续航电池包,新浪
250,2021-09-24,【调研纪要】晶盛机电：将于2021年11月开始向宁夏中环交付全自动晶体生长炉（20210923）,微信
251,2021-09-24,浙商机械 邱世梁||王华君【光伏设备】光伏异质结：爱康4.4GW项目落地；持续力推三大设备厂,高端装备制造及材料
252,2021-09-24,晶盛机电：宁夏鑫晶盛电子材料公司的建设工作有序推进中，2021年第三季度开始，设备陆续安装调试并分批投产，整体厂房建设和设备进场按预期计划顺利进行,每日经济新闻
253,2021-09-24,晶盛机电：目前公司子公司暂无在北京交易所上市计划,每日经济新闻
254,2021-09-24,新兴能源行业：平价时代新能源资产价值重估 现金为王优选运营商,新浪
255,2021-09-23,半导体：高景气及国产化下半导体设备投资机会框架,新浪
256,2021-09-23,深度*行业*机械设备行业周报：宁德时代、蜂巢能源公布新扩产计划 推荐锂电设备板块,新浪
257,2021-09-23,深度*行业*半导体行业周报：全球晶圆厂设备支出预期持续增长 国产先进封装光刻机迎来新进展,新浪
258,2021-09-22,机械设备行业：锂电新一轮扩产启动 设备商持续受益,新浪
259,2021-09-22,民生机械周报：宁德扩产持续落地 锂电设备行业景气度持续,新浪
260,2021-09-21,机械设备行业跟踪周报：建议关注近期回调但高景气度的光伏锂电设备 持续看好行业数据迎回暖趋势的工程机械行业,新浪
261,2021-09-17,新兴能源行业：能耗双控政策出炉 绿电溢价再促新能源发展,新浪
262,2021-09-17,机械行业动态：8月电动车产销创新高 新能源装备景气延续,新浪
263,2021-09-16,晶盛机电全资孙公司大尺寸石英坩埚项目启动投产,财联社
264,2021-09-14,国泰君安：“风光”不与四时同，需求超预期行业高景气,Wind
265,2021-09-14,机械设备行业：动力电池产能成稀缺资源 利好设备商,新浪
266,2021-09-13,半导体板块遭重创，蔡嵩松说的“双升红利期”还有戏吗？,Wind
267,2021-09-13,新兴能源行业：“风光”不与四时同 需求超预期行业高景气,新浪
268,2021-09-13,晶盛机电(300316.SZ)：向120名激励对象授予60万股预留部分限制性股票,格隆汇
269,2021-09-13,电新行业周报：国家多举措保障新能源并网 预计Q4电车产业链延续产销两旺,新浪
270,2021-09-13,千亿芯片巨头闪崩，煤炭ETF狂飙99%，元宇宙又火了,Wind
271,2021-09-11,芯片股大反弹，谢治宇、章晖等顶流基金经理出手！,Wind
272,2021-09-10,机械行业周报(2021年9月第1周)：“十四五”风电需求有望大幅超市场预期 持续推荐光伏／风电设备,新浪
273,2021-09-10,光伏板块午前走高，锦浪科技涨超5%,Wind
274,2021-09-09,新兴能源行业：光伏需求旺盛 板块二次行情开启,新浪
275,2021-09-08,光伏设备深度研究框架：迭代与机遇,新浪
276,2021-09-07,西部超导：公司未供货晶盛机电,每日经济新闻
277,2021-09-07,机械行业2Q21业绩回顾：多因素共振 致利润率下行,新浪
