,2021-12-29,金发科技：预计2021年第四季度完成年产3万吨PLA合成线的投产,每日经济新闻
71,2021-10-11,化工周报：受双控及国内外能源成本推动 化工品节前价格大幅上涨 Q4看好煤化工、农化以及氯碱板块,新浪
72,2021-10-11,多只A股被举牌，知名牛散、2000亿巨头全都出手了！,Wind
73,2021-10-07,北交所8只新股相对估值分析：锦好医疗适合长期投资吗？,搜狐
74,2021-09-30,A股避险情绪浓厚，周期股集体重挫，持股还是持币过节？,Wind
75,2021-09-29,市值蒸发超万亿，周期股被爆锤，北上资金抄底这些股！,Wind
76,2021-09-29,干货！2021年中国改性塑料行业龙头企业分析——会通股份：深耕家电、汽车领域、年底实现产能翻倍,前瞻研究院
77,2021-09-29,干货！2021年中国改性塑料行业龙头企业分析——会通股份：深耕家电、汽车领域、年底实现产能翻倍,证券之星
78,2021-09-29,【行业深度】洞察2021：中国生物降解塑料行业竞争格局及市场份额(附市场集中度、企业竞争力评价等),前瞻研究院
79,2021-09-27,化工行业周报：能耗双控进行时 继续看好受新能源拉动供需错配的化工子行业,新浪
80,2021-09-27,化工新材料行业周报：多地“双控”驱动成本上行 基于国产化浪潮寻找投资机遇,新浪
81,2021-09-26,干货！2021年中国改性塑料行业龙头企业分析——国恩股份：产销量上升、多领域进行研发布局,前瞻研究院
82,2021-09-24,A股万亿常态成交，三季度以来逾千家公司获机构调研,Wind
83,2021-09-23,"百亿新赛道之可降解塑料|金发科技能否借可降解塑料,实现王者归来？",财华社
84,2021-09-23,热门公司调研机构云集，34家看涨逾100%,Wind
85,2021-09-23,干货！2021年中国改性塑料行业龙头企业对比：金发科技VS国恩股份VS会通股份 谁是“行业之王”？,前瞻研究院
86,2021-09-22,化工行业周报：能耗双控背景下关注高耗能产品价格弹性 继续看好新能源赛道上游材料核心标的,新浪
87,2021-09-18,独家！金发科技VS普利特改性塑料技术布局对比(附专利总量对比、合作申请对比、重点专利布局对比等),前瞻研究院
88,2021-09-18,化工行业周报：磷氟硅电石纯碱等泛“碳中和”板块持续景气 关注相关标的,新浪
89,2021-09-16,可降解塑料板块爆发，华信新材、天元股份率先涨停,Wind
90,2021-09-15,"百亿新赛道之可降解塑料|金发科技能否借可降解塑料,实现王者归来？",财华社
91,2021-09-15,工信部鼓励发展高端可降解材料 金发科技创新技术迎接市场考验,每经网
92,2021-09-14,化工行业周报：烧碱货源紧张 有机硅价格节节攀升,新浪
93,2021-09-13,化工新材料行业周报：新材料属当下做风格偏离的关键选择 推荐光学膜和EVA,新浪
94,2021-09-07,* 可降解塑料迎风口，金发科技全球领先,阿尔法工场
95,2021-09-07,解盘：资源股强势，电解液、锂电、煤炭、纯碱等领涨,Wind
96,2021-09-07,化工行业周报：磷酸铁锂拉动锂电化工材料需求 继续推荐R142B-PVDF产业链,新浪
97,2021-09-06,工信部“十四五”相关规划发布在即，生物降解塑料行业高增长启动,Wind
98,2021-09-06,金发科技：截至2021年上半年，公司已经具有12万吨PBAT产能，2021年第四季度，公司新增的3万吨PLA产能也将顺利投产,每日经济新闻
99,2021-09-06,"金发科技：以熔喷料、熔喷布、口罩业务为主的医疗健康板块毛利率回归理性，导致公司2021年上半年整体毛利率同比下降
盈利能力下降",每日经济新闻
100,2021-09-06,化工行业周报：万华拟建40万吨POCHP项目 玲珑新零售2.0上线,国海证券
101,2021-09-06,金发科技“增收不增利”两在建项目或存不确定性风险 盈利能力下降,中国经营报
102,2021-09-03,TUV莱茵为金发科技颁发全球首张趋海再生塑料含量证书,美通社
103,2021-09-03,东方证券给予金发科技增持评级，成本上涨业绩承压，多个项目助力成长，目标价格为19.20元,每日经济新闻
104,2021-09-03,金发科技(600143)：21H1净利下滑 医疗业务以量补价 盈利能力下降,新浪
105,2021-09-01,二季度业绩环比增长 “此消彼长”的金发科技加速多点布局,21世纪经济报道
106,2021-08-31,基础化工行业周报：基础化工行业2021年中报点评,新浪
107,2021-08-30,化工行业研究：碳基材料将被纳入“十四五”原材料工业相关发展规划,华安证券
108,2021-08-27,金发科技：公司及其子公司对外担保余额为33.73亿元 大额借贷担保,每日经济新闻
109,2021-08-27,【金发科技 | 2021年中报点评：主营业务增长稳健，打造一体化新材料企业】-国信证券,化工林谈
110,2021-08-27,219股获券商买入评级 金发科技目标涨幅达112.72%,Wind
111,2021-08-27,上半年生物降解塑料销量增长40% 金发科技持续提升产能领跑行业,每日经济新闻
112,2021-08-26,尾盘跌停！金发科技上半年增收不增利，可降解塑料销量现单季下滑 盈利能力下降,新京报
113,2021-08-26,【国海化工】Q2业绩环比增长，一体化布局稳步推进——金发科技（600143）中报点评,靠谱化工股
114,2021-08-26,金发科技龙虎榜数据（8月26日）,Wind
115,2021-08-26,金发科技尾盘跌停，北向资金净卖1357万,证券之星
116,2021-08-26,跌停板解密：大单抛售，两类个股封跌停！（8月26日）,Wind
117,2021-08-26,华安证券给予金发科技买入评级，一体布局拓成长，在建项目增业绩,每日经济新闻
118,2021-08-26,金发科技上半年净利下降34.44%，原材料价格上涨拖累业绩 盈利能力下降,阿尔法工场
119,2021-08-26,快讯：金发科技跌停 报于18.63元,金融界
120,2021-08-26,一图读懂金发科技2021年中报,证券之星
121,2021-08-26,【华安化工|点评】金发科技：一体布局拓成长，在建项目增业绩,化工阿尔法
122,2021-08-26,金发科技(600143)：原料上涨业绩承压 积极拓展产业链上游 长期成长可期,新浪
123,2021-08-25,原材料涨价、医疗健康业务萎缩 金发科技上半年净利润同比降超三成 盈利能力下降,中国经济网
124,2021-08-25,8月25日金发科技、顺鑫农业等7家公司公告出现利空,证券之星
125,2021-08-25,金发科技2021年上半年实现净利润15.88亿元，同比下降34.60% 盈利能力下降,经济观察网
126,2021-08-25,金发科技(600143.SH)：上半年净利降34.44%至15.81亿元 盈利能力下降,格隆汇
127,2021-08-25,金发科技半年报：上半年净利润15.81亿元 同比减少34% 盈利能力下降,财联社
128,2021-08-25,金发科技：上半年净利润同比减少34.44% 盈利能力下降,Wind
129,2021-08-25,普利特(002324)：聚焦5G新材料 战略转型布新篇,新浪
130,2021-08-24,化工周报：有机硅、PVDF大幅上涨 关注化工企业布局新能源材料 周期和成长有望同时向上,新浪
131,2021-08-23,金发科技：公司LCP薄膜专用树脂已具备量产能力,Wind
132,2021-08-23,基础化工行业周报：5G背景下的LCP新材料供需格局,新浪
133,2021-08-16,化工周报：化工品景气度延续上行 关注龙头企业进军磷酸铁锂、DMC 等新能源产业链,新浪
134,2021-08-16,化工行业周报：新能源风起 化工龙头加速布局,新浪
135,2021-08-16,化工新材料行业周报：新材料行情向“新能源”集中 半导体材料受益于国产化进程,新浪
136,2021-08-16,氢能源板块指数涨逾8% 44只个股获大单资金抢筹,证券日报网
137,2021-08-11,金发科技：尊目前，公司具备12万吨PBAT合成产能,每日经济新闻
138,2021-08-11,金发科技：公司目前暂未生产丙交酯，公司规划的年产3万吨PLA产能预计将在2021年第四季度完成投产,每日经济新闻
139,2021-08-09,降解塑料行业全景图：供应与需求高增 机遇和风险并存,新浪
140,2021-08-03,新材料板块周观点：大基金二期入股国内光刻胶龙头 金发科技工程塑料产能扩增,新浪
141,2021-08-02,【天风新材料20210802】浙江金华城区农贸市场执行最严“限塑令”,煤炭鑫观点
142,2021-08-02,关于对金发科技股份有限公司、袁志敏、李南京、何勇军、张俊采取出具警示函措施的决定〔2021〕55号 金融监管处罚,广东证监局
143,2021-08-02,金发科技：公司及其子公司对外担保余额为25.36亿元 大额借贷担保,每日经济新闻
144,2021-08-02,石油石化、基础化工、新材料行业北上资金流向周报,新浪
145,2021-08-02,化工：草铵膦价格涨势不减 PTA价差持续扩大,新浪
146,2021-08-02,化工周报：纯碱、BDO、氨纶等持续上涨 周期旺季来临 重点关注细分龙头,新浪
147,2021-08-01,【华安化工|周报】碳排放将被纳入环评，首批试点涉及七省市重点行业,化工阿尔法
148,2021-08-01,金发科技(600143.SH)：2012年至2015年期间部分贸易性质营业收入没有对应的物流凭据证明 收到警示函 金融监管处罚,格隆汇
149,2021-07-30,【天风新材料20210730】武汉餐饮业协会发布《餐饮行业“禁塑”倡议书》,煤炭鑫观点
150,2021-07-30,存违反信息披露管理办法等情形 金发科技及相关负责人收警示函 金融监管处罚,北京商报
151,2021-07-30,行业观察|塑料替代技术路线之争引关注 业内人士称PLA等环保成色不足,财联社
152,2021-07-30,金发科技：收到广东证监局警示函 金融监管处罚,Wind
153,2021-07-30,金发科技(600143.SH)收到广东证监局警示函 金融监管处罚,智通财经
154,2021-07-29,金发科技：即将于8月26日披露半年报,每日经济新闻
155,2021-07-29,金发科技：产品已应用于扫地机器人等清洁类小家电领域,每日经济新闻
156,2021-07-29,金发科技：2020年公司主要的车用材料销量 48.69 万吨,每日经济新闻
157,2021-07-29,金发科技：目前公司已具备12万吨PBAT产能。同时公司3万吨PLA产能也将于今年第四季度投产,每日经济新闻
158,2021-07-29,金发科技：2020年公司研发投入约14.39亿元,每日经济新闻
159,2021-07-29,并购助业绩大爆发！110家翻番，材料、半导体亮瞎眼,Wind
160,2021-07-28,57股获券商买入评级，三一重工目标涨幅达97.37%,Wind
161,2021-07-27,金发科技(600143)重大事项点评：控股宝来新材料 一体化布局添ABS树脂,新浪
162,2021-07-27,中信证券：维持金发科技(600143.SH)“增持”评级 目标价40.6元,智通财经
163,2021-07-27,中信建投：维持金发科技(600143.SH)“增持”评级 控股宝来新材料 向改性塑料上游扩展,智通财经
164,2021-07-27,东北证券：重申金发科技(600143.SH)“买入”评级 入股宝来新材料 快速获取稀缺关键项目,智通财经
165,2021-07-27,金发科技(600143)：拟控股宝来新材料 拓展产业链上游,新浪
166,2021-07-26,2021Q2公募基金化工重仓股分析：21Q2公募基金化工重仓股配置环比继续上升 风格切换至细分龙头及新能源、半导体相关标的,新浪
167,2021-07-26,金发科技控股宝来新材料 提升全产业链技术创新能力,上证报
168,2021-07-26,金发科技(600143)：改性塑料龙头进军上游原料 一体化布局再扩公司护城河,新浪
169,2021-07-26,化工周报：钾肥、氯碱、氨纶等持续上涨 周期旺季来临 重点关注细分领域龙头,新浪
170,2021-07-26,华安证券给予金发科技买入评级，收购宝来新材料51%股权，强化塑料领域话语权,每日经济新闻
171,2021-07-26,【方正化工】拟控股宝来新材料，加码上游原材料业务，完善一体化布局,靠谱化工股
172,2021-07-26,【华安化工|点评】金发科技：收购宝来新材料51%股权，强化塑料领域话语权,化工阿尔法
173,2021-07-25,7月26日上市公司重要公告集锦：中炬高新拟向控股股东定增募资不超77.91亿元,证券日报之声
174,2021-07-25,【华安化工|周报】万华化学再次跻身《财富》中国500强,化工阿尔法
175,2021-07-25,2021年7月26日涨停板早知道：七大利好有望发酵,新浪
176,2021-07-25,晚间公告｜7月25日这些公告有看头,第一财经
177,2021-07-25,金发科技获得宝来新材料控股权 进入ABS等上游原材料行业,上证报
178,2021-07-25,公告精选：多家上市公司回应义务教育“双减”政策影响,e公司
179,2021-07-25,金发科技(600143.SH)向宝来新材料增资4.7亿元,格隆汇
180,2021-07-25,金发科技：将获宝来新材料51.09%股权，进入上游原材料行业,Wind
181,2021-07-25,金发科技：将获宝来新材料51.09%股权 进入上游原材料行业,e公司
182,2021-07-25,化工行业周报：硝酸“有价无市” PTV价差由跌转涨,新浪
183,2021-07-23,2021年基础化工行业中期投资策略：周期景气持续 成长聚焦龙头,新浪
184,2021-07-23,金发科技：2021年，在特种工程塑料方面，公司将持续进行技术和产品创新，实现新增4000吨高温尼龙材料产能以及800吨PPSU材料产能,每日经济新闻
185,2021-07-23,金发科技：公司自主研发生产的聚乙烯透气膜材料和聚苯砜树脂（PPSU）材料，可以用于下游客户生产尿不湿、奶瓶产品,每日经济新闻
186,2021-07-23,金发科技：公司产品广泛应用于汽车、家用电器、电子电气、通讯电子、新基建、新能源、现代农业、现代物流、 轨道交通、航空航天、高端装备、医疗健康等行业,每日经济新闻
187,2021-07-23,金发科技：公司3万吨PLA（聚乳酸）产能预计在2021年第四季度完成投产,Wind
188,2021-07-23,金发科技：公司参股投资的花城创投未投资比亚迪,Wind
189,2021-07-20,金发科技中不可忽视的板块：“环保高性能再生塑料”,投资家
190,2021-07-19,化工周报：旺季即将来临 化肥、化纤持续强势 周期有望迎来价量双升,新浪
191,2021-07-13,率先布局顶格支持 广州高新区向绿色产业要经济效益,中国科技网
192,2021-07-12,0713日报/新乡化纤预计上半年净利润7.10亿元-7.60亿元同比增长2394.14%-2569.79%【东北化工】,东北基础化工
193,2021-07-12,能源化工行业周观点：油价振荡后上行 光伏新能源材料关注度高,新浪
194,2021-07-08,0709日报/万华化学预计上半年净利润134亿元-136亿元同比增加373%-380%【东北基础化工】,东北基础化工
195,2021-07-07,【安信化工】可降解：禁塑令之下需求快速增长，产业化进程有望加速,安信化工研究
196,2021-07-05,基础化工2021H1业绩前瞻：油价持续上涨叠加国内外需求共振 化工业21Q2 盈利能力环比持续提升,新浪
197,2021-07-05,石油化工新材料行业北上资金周报,新浪
198,2021-07-05,化工行业周报：把握中报高增长标的 中长期继续看好优质成长,新浪
199,2021-07-05,首席周观点：继续多债券 空商品,新浪
200,2021-06-29,金发科技(600143)：改性塑料龙头 新材料业务多点开花,新浪
201,2021-06-28,这一领域未来5年需求量或增逾30倍！多家上市公司杀入,Wind
202,2021-06-24,0625日报/恒力石化拟投111.25亿元建年产80万吨功能性聚酯薄膜、功能性塑料项目【东北基础化工】,东北基础化工
203,2021-06-24,快讯：可降解塑料板块午后异动 金发科技涨逾7%,新浪
204,2021-06-24,【行情】可降解塑料板块午后异动拉升，金发科技涨超7%，丹化科技、瑞丰高材、道恩股份、银禧科技等跟涨,金十数据
205,2021-06-22,0623日报/桐昆股份拟设合资公司投建年产200万吨聚酯纤维项目【东北基础化工】,东北基础化工
206,2021-06-22,首席周观点：多债券、空商品,新浪
207,2021-06-22,券商首次关注9股并给予买入评级（6月22日）,Wind
208,2021-06-21,0622日报/原油期权今日正式挂牌上市【东北基础化工】,东北基础化工
209,2021-06-21,化工行业周报：关注二季度高增长标的 中长期继续看好优质成长股,新浪
210,2021-06-20,金发科技(600143)首次覆盖：全球改性塑料领军企业 可降解塑料、医疗健康板块看点十足,新浪
211,2021-06-18,金发科技(600143.SH)：2016年度员工持股计划存续期即将届满,格隆汇
212,2021-06-17,金发科技：公司产品目前未与疫苗注射器工厂合作,每日经济新闻
213,2021-06-17,金发科技今日大宗交易成交10.10万股，成交价19.81元溢价0.0%,Wind
214,2021-06-17,化工行业2021年中期投资策略：周期品兼顾景气与成长 新材料布局需求端放量,广发证券
215,2021-06-16,首席周观点：光伏产业柳暗花明景气重启 海风地补落地确定性夯实,新浪
216,2021-06-16,化工行业周报：化工行业结构性乐观 关注纯碱、钛矿、氨纶等子行业,新浪
217,2021-06-15,0616日报/天原股份电石全面恢复生产【东北基础化工】,东北基础化工
218,2021-06-10,0611日报/先正达集团据悉将在上海IPO估值达600亿美元【东北基础化工】,东北基础化工
219,2021-06-10,化工行业：聚焦周期景气龙头 看好低估值优质成长,新浪
220,2021-06-09,化工板块超20股涨逾5% 机构：顺周期业绩将迎兑现期丨牛熊眼,第一财经
221,2021-06-08,金发科技：公司PLA在建产能3万吨/年，预计2021年第四季度投产,每日经济新闻
222,2021-06-08,首席周观点：股债小双牛还能持续吗？,新浪
223,2021-06-07,化工行业周报：重点看好资本开支下实现跨越式增长的周期成长股,新浪
224,2021-06-01,首席周观点：人民币的投机性升值难以持续,新浪
225,2021-05-31,石油化工新材料行业北上资金周报,新浪
226,2021-05-30,板块拾金|一天一个样！新能源、半导体、金融...轮动市到底看谁？策略收好！,第一财经
227,2021-05-28,平安证券--石油石化行业原材料涨价影响系列研究：化工篇，后市价格预计分化，把握低估周期龙头及新材料板块【行业研究】,金融界股吧
228,2021-05-28,融资客青睐11股，东湖高新买入占比高达41.85%,Wind
229,2021-05-28,A股融资融券日报：两融余额增加73.28亿元（5月27日）,Wind
230,2021-05-27,0528日报/中核钛白与宁德时代子公司共同出资设立合资公司【东北基础化工】,东北基础化工
231,2021-05-27,金发科技(600143.SH)通过高新技术企业重新认定,格隆汇
232,2021-05-27,化工行业重大事项点评：禁塑新政密集推行 预期全面改善,新浪
233,2021-05-27,概念股盘点：可降解塑料政策利好频发金发科技强势拉升,时代周报
234,2021-05-27,中信证券：禁塑新政密集推行，预期全面改善,证券时报网
235,2021-05-27,2021年中国PA材料行业市场现状及发展趋势分析(附全球及中国主要企业产能情况),前瞻研究院
236,2021-05-27,解盘：超百亿资金流入，光刻胶、半导体、TWS耳机领涨,Wind
237,2021-05-27,华龙内参2021年第95期 总第926期(电子版),新浪
238,2021-05-27,A股早报2021年5月27日星期四,Wind
239,2021-05-27,22股获券商买入评级 金发科技目标涨幅达78.39%,Wind
240,2021-05-26,可降解塑料概念股掀涨停潮 哪些企业已投产卡位 热门股价值几何,贝壳财经
241,2021-05-26,涨停复盘 | 沪指3600点得而复失 可降解塑料概念火爆,第一财经
242,2021-05-26,涨停板解密：化工股火爆现涨停潮！（5月26日）,Wind
243,2021-05-26,11股涨停25股飘红！可降解塑料火了，570亿巨头金发科技：业务占比不高,证券之星
244,2021-05-26,可降解塑料概念掀涨停潮机构看好这些个股、最高还可涨75%,第一财经
245,2021-05-26,A股收盘综述：上证指数涨0.34%，创业板指跌0.95%,Wind
246,2021-05-26,首创证券--化工行业周报：周期行情持续分化，甄选攻守兼备品种【行业研究】,金融界股吧
247,2021-05-26,A股午盘综述：上证指数涨0.29%，创业板指跌逾1%,Wind
248,2021-05-26,东北证券--金发科技：塑料污染治理顶层设计酝酿，首推金发科技【公司研究】,金融界股吧
249,2021-05-26,金发科技（600143.SH）首板,Wind
250,2021-05-25,0526日报/民航业塑料污染治理文件重磅出台【东北基础化工】,东北基础化工
251,2021-05-25,民航业塑料污染治理文件重磅出台，这些相关企业获看好,第一财经
252,2021-05-24,石油石化、基础化工、新材料行业北上资金流向周报,新浪
253,2021-05-24,首创证券--市场策略报告：首席周观点，黑色价格见顶，其他还有多远？【投资策略】,金融界股吧
254,2021-05-24,化工行业周报：看好周期低估值弹性标的及高增长成长股,新浪
255,2021-05-24,化工周报：草甘膦、尿素上涨 周期品格局仍然向好 持续关注细分行业龙头,新浪
256,2021-05-24,化工行业周报：万华搭建生物降解塑料产业联盟 聚合MDI价差扩大,新浪
257,2021-05-22,可降解塑料投资“疯狂” 总规划产能远大于需求,新浪
258,2021-05-20,万盛股份(603010)：全球磷系阻燃剂龙头 Q2盈利有望再创新高,西南证券
259,2021-05-19,[路演]金发科技：完整掌握生物降解塑料核心技术,全景网
260,2021-05-18,0519日报/万华化学组织成立生物降解塑料产业联盟【东北基础化工】,东北基础化工
261,2021-05-18,化工行业周观点：晶合集成IPO获受理 OLED材料2021年高增长趋势明确,新浪
262,2021-05-18,首席周观点：大宗商品价格见顶了吗？,新浪
263,2021-05-18,化工行业周报：化工开始分化 关注纯碱、钛矿、氯碱、EVA等子行业,新浪
264,2021-05-17,化工周报：地产链条景气持续 行业淡季价格仍坚挺 持续关注细分龙头,新浪
265,2021-05-17,2021Q1化工行业总结：供需格局改善 盈利大幅提升 看好景气持续,新浪
266,2021-05-16,石油石化、基础化工、新材料行业北上资金流向周报：石油化工新材料行业北上资金周报,新浪
267,2021-05-13,2020董秘薪酬报告：最高达千万元，差距达百倍,Wind
268,2021-05-13,首创证券--化工行业周报：顺周期风云再起，Q2景气持续可期【行业研究】,金融界股吧
269,2021-05-12,智氪 | 扎心，为什么连塑料袋都贵了？,36氪
270,2021-05-11,0512日报/亚钾国际预计今年钾肥产量50万吨或较去年翻番【东北基础化工】,东北基础化工
271,2021-05-10,0511日报/国瓷材料拟以3000万元在深圳设立爱尔创新材料【东北基础化工】,东北基础化工
272,2021-05-10,化工周报：钛白粉、草甘膦、PVC 上涨 大宗品周期情绪升温 推荐业绩持续改善的细分龙头,新浪
273,2021-05-10,能源化工行业周观点：化工产品景气高位延续 关注碳中和、农化、海外复苏等主线,新浪
274,2021-05-10,石油石化、基础化工、新材料行业北上资金流向周报,新浪
275,2021-05-09,齐翔腾达：预计今年丁腈胶乳价格较为稳定,Wind
276,2021-05-08,金发科技(600143)：改性材料平台化 千亿龙头呼之欲出,新浪
277,2021-05-07,多家巨头杀入，千亿风口蓄势待发？,Wind
278,2021-05-06,0507日报/中核钛白、安纳达、金浦钛业上调钛白粉价格【东北基础化工】,东北基础化工
279,2021-05-06,基础化工行业2020年报及2021一季报总结：2020化工行业景气呈现“V”型复苏 21Q1景气加速上行 行业盈利能力大幅修复,新浪
280,2021-04-30,【方正化工】金发科技2021年一季报点评：一季度量价齐升，可降解塑料投产运行,靠谱化工股
281,2021-04-30,金发科技(600143.SH)权益分派：每股派0.6元,智通财经
282,2021-04-30,金发科技(600143.SH)年报推10派6元 股权登记日5月11日,格隆汇
283,2021-04-30,405股获券商买入评级，桐昆股份目标涨幅达107.17%,Wind
284,2021-04-29,北向资金连续5日扫货，伊利股份、宁德时代净买入超6亿元,Wind
