,2021-12-31,2021年的啤酒板块∶行情欠佳但酒香四溢,智通财经
27,2021-12-07,食品饮料行业周观点：关注白酒跨年行情 看好高端白酒龙头,新浪
28,2021-12-07,食品饮料行业周报：老窖激励获批 顺鑫加快地产剥离 继续看多板块Q4行情,新浪
29,2021-12-07,日常消费周思考：跨年行情延续 高端白酒布局价值凸显,新浪
30,2021-12-06,食品饮料行业报告：百威英博提价 行业结构升级逻辑持续,新浪
31,2021-12-06,一周酒讯丨顺鑫农业拟转让旗下房地产公司股权；重庆啤酒扩产,新京报
32,2021-12-06,中信证券：白酒行业景气持续基本面稳健向上 乳制品板块再迎配置良机,智通财经
33,2021-12-06,中信证券：布局白酒跨年旺季行情，关注乳品配置机会,Wind
34,2021-12-06,食品饮料｜布局白酒跨年旺季行情，关注乳品配置机会,中信证券研究
35,2021-12-05,食品饮料行业周报：老窖激励方案获批 把握白酒跨年行情,新浪
36,2021-12-03,华西证券维持重庆啤酒买入评级：加速产能布局，嘉士伯走向全国,每日经济新闻
37,2021-12-03,华西证券：给予重庆啤酒买入评级,证券之星
38,2021-12-03,啤酒概念午后拉升，青岛啤酒涨超5%，重庆啤酒、兰州黄河、惠泉啤酒跟涨。,新浪
39,2021-12-03,酒业观察丨拟在佛山、西昌扩产能，重庆啤酒如何加速挺进全国市场,新京报
40,2021-12-02,云智科技集团仅成立一年，横扫12项大奖,和讯
41,2021-12-02,云智科技集团成立一年横扫12项大奖,质量新闻网
42,2021-12-02,投资10亿南下挺进华南 重庆啤酒要想“搅局”恐不容易,财联社
43,2021-12-01,重庆啤酒拟在佛山、西昌扩产能,上证报
44,2021-12-01,【开源食饮每日资讯1201】千味央厨拟对部分产品经销价上调2%-10%,宇光食饮日讯
45,2021-12-01,食品饮料行业周报：白酒跨年行情可期密切关注提价进展,渤海证券
46,2021-12-01,晚间重要公告2021年12月1日星期三,Wind
47,2021-12-01,重庆啤酒：嘉士伯重啤拟投资1.02亿元扩建产能,上证报
48,2021-12-01,重庆啤酒(600132.SH)：西昌公司拟投约1.02亿元进行技改扩能,智通财经
49,2021-12-01,重庆啤酒：拟于12月17日召开2021年第四次临时股东大会,发布易
50,2021-12-01,重庆啤酒：子公司拟新建年产50万千升啤酒产能项目,e公司
51,2021-12-01,重庆啤酒(600132.SH)：嘉士伯重啤拟投约10.3亿元于佛山新建生产基地,智通财经
52,2021-12-01,重庆啤酒(600132.SH)：子公司拟投建年产50万千升啤酒产能的生产基地 并设立嘉士伯佛山公司,格隆汇
53,2021-12-01,重庆啤酒(600132.SH)：控股公司拟对西昌公司进行技改扩能,格隆汇
54,2021-12-01,重庆啤酒：子公司拟合计投资11.32亿元扩产,财联社
55,2021-12-01,重庆啤酒：拟在广东省佛山市三水区新建年产50万千升啤酒产能的生产基地,格隆汇
56,2021-12-01,重庆啤酒：拟投建年产50万千升啤酒产能的生产基地,Wind
57,2021-12-01,食品饮料行业2022年上半年投资策略：坚守价值主线 关注边际拐点,新浪
58,2021-11-30,食品饮料行业周报(第四十七周)：白酒关注年底催化 大众品等待提价后的经营改善,新浪
59,2021-11-30,食品饮料行业周报：看好白酒估值切换 持续关注提价进展,新浪
60,2021-11-29,食品饮料行业：白酒关注提价进展 年底多方信息显积极 继续强烈看好,新浪
61,2021-11-29,食品饮料行业周报：白酒景气度有望提升 把握大众品边际拐点,新浪
62,2021-11-29,食饮周观点：高端酒提价预期强 食品重视新业务增加Α标的,新浪
63,2021-11-28,【开源食饮】白酒趋势向好，关注嘉必优成长性——行业周报,宇光看食饮
64,2021-11-25,重庆上市公司2021年投资者网上集体接待日活动圆满举行,上证报
65,2021-11-25,浙商证券：给予重庆啤酒买入评级,证券之星
66,2021-11-25,浙商证券维持重庆啤酒买入评级，重庆啤酒更新报告：产能扩张+组织优化，赋能全国化开拓,每日经济新闻
67,2021-11-23,板块强势反弹，看好白酒估值切换行情，大众品恢复在途,金融界
68,2021-11-22,食品饮料行业周报：白酒估值进入合理区间 静待大众品提价后业绩修复,新浪
69,2021-11-22,周谈｜Weekly Talk：寻找行业趋势与公司业绩双确定，啤酒及餐饮产业链,食品饮料光头阳线
70,2021-11-22,食品饮料行业策略会反馈：经营策略得当 来年可期,新浪
71,2021-11-22,重庆啤酒：推进“本地+国际”品牌战略，市场竞争优势有望提升,中金在线
72,2021-11-22,中信建投食品饮料行业2022年投资策略报告：今朝逆风前进，来日乘风破浪,Wind
73,2021-11-22,一周酒讯丨茅台酱香酒拟建一千家主题终端店；泸州整治白酒乱象,新京报
74,2021-11-21,食品饮料行业周报：白酒情绪回暖 关注板块跨年行情,新浪
75,2021-11-19,消费传导！又一速冻食品龙头提价,Wind
76,2021-11-18,重庆啤酒(600132)：3Q21超预期 乌苏继续抢占高端市场份额,新浪
77,2021-11-18,食品饮料2022年投资策略报告：今朝逆风前进 来日乘风破浪,新浪
78,2021-11-18,"重庆啤酒频繁扩产押注""夺命大乌苏"" 全国化布局能否成功？",新浪
79,2021-11-18,食品饮料年度策略：守望长期价值 布局三重改善,新浪
80,2021-11-18,11股获券商买入评级 中国巨石目标涨幅达69.29%,Wind
81,2021-11-18,“数据会说话”之2021年10月数据解读：10月社零数据符合预期 看好中国消费韧性,新浪
82,2021-11-18,啤酒及饮料行业跟踪报告：高端风至 涨价潮起,光大证券
83,2021-11-18,重庆啤酒产能利用率仅76%仍持续扩产 再投华南逾10亿,长江商报
84,2021-11-18,落子佛山 重啤拟投10.3亿元建新基地,上游新闻
85,2021-11-17,拟投10.3亿元，重庆啤酒广东建年产50万千升基地，今年以来股价上涨37%,上游新闻
86,2021-11-17,“夺命大乌苏”进击华南！重庆啤酒拟投10亿元佛山设厂扩张产能,21世纪经济报道
87,2021-11-17,食品饮料行业周报：提价仍为主要催化优选格局行稳致远,渤海证券
88,2021-11-17,“瞄准”华南市场 重庆啤酒拟超10亿元新建产能生产基地,证券日报网
89,2021-11-17,重庆啤酒(600132)：新投50万吨产能 高景气下势能延续,新浪
90,2021-11-17,【安信食品】重庆啤酒：优化高端产能布局，夯实基础稳步向前,安信食饮
91,2021-11-16,社零看景气：10月社零增速整体小幅回升 餐饮维持弱复苏,新浪
92,2021-11-16,重庆啤酒加码华南市场：拟在佛山投建年产50万千升基地,上证报
93,2021-11-16,【开源食饮每日资讯1116】重庆啤酒拟不低于10.3亿元投建啤酒生产基地项目,宇光食饮日讯
94,2021-11-16,优化供应链加快建厂扩能步伐 重庆啤酒拟10亿元佛山投建生产基地,e公司
95,2021-11-16,晚间重要公告2021年11月16日星期二,Wind
96,2021-11-16,重庆啤酒拟在佛山市投建啤酒生产基地项目 填补华南地区产能缺口,上证报
97,2021-11-16,重庆啤酒：为优化全国供应链布局 控股子公司拟于佛山投建啤酒生产基地,发布易
98,2021-11-16,重庆啤酒：子公司拟不低于10.3亿元在广东投建啤酒生产基地,新京报
99,2021-11-16,重庆啤酒(600132.SH)子公司拟投资新建50万千升/年产能的生产基地,智通财经
100,2021-11-16,重庆啤酒(600132.SH)：拟在佛山市三水区投建50万千升/年产能生产基地,格隆汇
101,2021-11-16,重庆啤酒：拟不低于10.3亿元投建啤酒生产基地项目,财联社
102,2021-11-16,食品饮料行业周报：双11战报出炉 乳品、零食龙头领跑,新浪
103,2021-11-15,食品饮料行业2021年三季报综述大众品篇：边际呈现复苏 提价逐步落地,新浪
104,2021-11-15,北向资金连续3日净买入累计加仓近160亿，中国中免获净买入超6亿元,Wind
105,2021-11-12,银河美丽混合“名不副实”重仓“大消费”，年内净值回撤超过10%,和讯
106,2021-11-12,啤酒行业专题报告：从日本啤酒市场看中国啤酒发展前景,新浪
107,2021-11-12,食品饮料行业2021年三季报业绩综述：高基数下分化明显关注啤酒及乳制品,渤海证券
108,2021-11-11,食品饮料行业：需求复苏、估值筑底 2022年食品板块有望戴维斯双击,广发证券
109,2021-11-11,财信证券食品饮料行业跟踪10月：把握食品业绩改善，坚守白酒确定性增长,财信证券研究
110,2021-11-09,提价传导依竞争格局而有效甄别，啤酒，调味品，餐饮产业链，乳制品较优,食品饮料光头阳线
111,2021-11-09,大众品：至暗时刻已过，业绩有望边际改善,金融界
112,2021-11-08,“双11”中高端啤酒受追捧 巨头线上线下全渠道谋拓展,中国经营报
113,2021-11-08,【方正食饮211108】20-21年大众品板块复盘：至暗时刻已过，业绩有望边际改善,虎哥的研究
114,2021-11-08,涨价专题之啤酒篇：看好龙头 把握弹性,新浪
115,2021-11-07,啤酒板块第三季度超预期，高端化逻辑支撑业绩稳定增长,资本邦
116,2021-11-07,上市公司多举措应对成本上涨,Wind
117,2021-11-06,“双11”中高端啤酒受追捧，巨头线上线下全渠道谋拓展,Wind
118,2021-11-05,光大证券：维持重庆啤酒(600132.SH)“买入”评级 量价齐升拉动业绩增长,智通财经
119,2021-11-05,【食品饮料】3Q21食品饮料基金仓位点评 — 食品饮料仓位环比回落，白酒重仓比例下滑,中银证券研究
120,2021-11-05,大众食品板块11月投资策略：大众食品板块环比改善 关注提价行情,新浪
121,2021-11-04,又有酒类基金限购，透露什么信号？刘彦春这么说,Wind
122,2021-11-04,食品饮料行业周报：稳中求胜,新浪
123,2021-11-03,食品饮料行业深度报告：复盘系列之我国食品三次涨价潮启示录,新浪
124,2021-11-03,【方正食饮211103】食品饮料21年三季报综述：白酒趋势稳健向好，次高端亮眼，大众品需求仍在低位,虎哥的研究
125,2021-11-03,6股获券商买入评级，重庆啤酒目标涨幅达14.38%,Wind
126,2021-11-02,58家重庆A股上市公司前三季赚472亿元，谁是业绩王？,上游新闻
127,2021-11-02,重庆啤酒(600132)：全国化扩张初显成效 业绩有望维持高增长,广发证券
128,2021-11-02,北向资金连续4日净买入累计扫货近150亿，新能源龙头股集体获抢筹,Wind
129,2021-11-02,中金 | 啤酒提价复盘：成本驱动，高端化拓宽空间,中金点睛
130,2021-11-02,券商金股来了！重点布局消费、新能源赛道，一批个股已率先上涨,Wind
131,2021-11-01,重庆啤酒总裁李志刚：啤酒消费场景融合发展是大势所趋，高端化战略将继续深入,每日经济新闻
132,2021-11-01,重庆啤酒总裁李志刚：将持续深入产品高端化,每日经济新闻
133,2021-11-01,业绩快报｜重庆啤酒前三季度净利10.44亿元，高档产品收入占比升至36%,36氪
134,2021-11-01,沪港通十大成交活跃股排名（11月1日）,Wind
135,2021-11-01,港股一线｜啤酒加价潮将至？保险龙头利润滑坡！10月港股升3.26%领涨亚洲 盈利能力下降,21经济网
136,2021-11-01,解盘：人气回升，新能源、充电桩、网络游戏、苹果领涨,Wind
137,2021-11-01,快讯：重庆啤酒涨停 报于165.5元,金融界
138,2021-11-01,华创证券：维持重庆啤酒(600132.SH)“强推”评级 目标价206元,智通财经
139,2021-11-01,快讯：啤酒股继续拉升 重庆啤酒2连板,新浪
140,2021-11-01,啤酒股继续拉升 重庆啤酒涨停,e公司
141,2021-11-01,食品饮料行业周报：白酒分化首推汾酒老窖 食品优选啤酒乳业,新浪
142,2021-10-31,【开源食饮】食品饮料仓位回落，白酒获基金青睐——行业点评报告,宇光看食饮
143,2021-10-31,【重庆啤酒三季报点评：高端化趋势不改，乌苏引领全国扩张——方正食品饮料211029】,虎哥的研究
144,2021-10-31,别只盯白酒，提价预期催化啤酒“生香”,新浪
145,2021-10-31,德邦证券上调重庆啤酒至买入评级，三季报点评：成本管控与提价并举，净利润大超预期,每日经济新闻
146,2021-10-31,150.45元！重庆啤酒成第一高价渝股，今年1-9月营收超去年全年,上游新闻
147,2021-10-31,券商11月金股出炉：这些股获力挺，新能源板块再被看好,第一财经
148,2021-10-30,181股获买入评级 最新:白云机场,中财网
149,2021-10-30,中泰证券给予重庆啤酒买入评级：吨酒收入环比加速，成本管控能力突出,每日经济新闻
150,2021-10-30,重庆啤酒（600132）：利润率表现超预期，预计全年稳中快增,中信证券研究
151,2021-10-29,走“高端化、创新”路线成效渐显 重庆啤酒前三季度主要经营指标全线上涨,证券日报网
152,2021-10-29,重庆啤酒总裁李志刚：持续发力高端 业绩全面增长,上证报
153,2021-10-29,宁王大涨，市值盘中突破1.5万亿！机构：看好宁组合,Wind
154,2021-10-29,啤酒股掀涨停潮！提价有望减缓成本压力，机构：关注高端化布局企业,财联社
155,2021-10-29,一文看清大消费行业七大赛道龙头股,Wind
156,2021-10-29,涨停板解密：市场火热反弹，三板块个股遭抢筹！（10月29日）,Wind
157,2021-10-29,渝股点金 | 华龙证券赵亮：重庆啤酒一字涨停，建议回撤关注,上游新闻
158,2021-10-29,10月29日重庆啤酒涨停分析：啤酒概念热股,证券之星
159,2021-10-29,千亿龙头冲击涨停！人气王十连板，主力抢筹12亿,Wind
160,2021-10-29,华西证券：给予重庆啤酒买入评级,证券之星
161,2021-10-29,华西证券维持重庆啤酒买入评级：Q3业绩超预期，乌苏攻势不减,每日经济新闻
162,2021-10-29,A股午盘综述：市场资金热炒元宇宙、食品、半导体板块，地产、保险弱势尽显,Wind
163,2021-10-29,重庆啤酒封死涨停板，Q3扣非净利翻番！啤酒销量超行业增速4倍！乳品也爆发了,资本邦
164,2021-10-29,啤酒板块强势，重庆啤酒涨停，机构：提价预期有望催化短期行情,第一财经
165,2021-10-29,国盛证券：维持重庆啤酒(600132.SH)“买入”评级 乌苏引领量价齐升 Q3业绩超预期,智通财经
166,2021-10-29,除了白酒，细分酒类中还有什么酒能投？,36氪
167,2021-10-29,高端策略见成效，重庆啤酒前三季度大幅跑赢行业,阿尔法工场
168,2021-10-29,提价预期升温，啤酒股集体大涨，重庆啤酒涨停,证券时报网
169,2021-10-29,快讯：重庆啤酒涨停 报于150.45元,金融界
170,2021-10-29,板块异动 | 啤酒旺季销量高增 啤酒板块持续走强,智通财经
171,2021-10-29,A股异动 | 啤酒股集体上涨 青岛啤酒，重庆啤酒领涨,格隆汇
172,2021-10-29,【异动股】酿酒行业板块拉升，重庆啤酒(600132.CN)涨10.0%,财华社
173,2021-10-29,快讯：啤酒板块快速拉升 重庆啤酒涨停,新浪
174,2021-10-29,快讯：公司前三季度营收111.87亿元同比增长23.89% 重庆啤酒一字涨停,新浪
175,2021-10-29,A股三大指数开盘涨跌不一，重庆啤酒一字涨停,36氪
176,2021-10-29,【安信食品】重庆啤酒：收入利润双超预期，关注后续提价预期,北外滩食饮俱乐部
177,2021-10-29,重庆啤酒(600132)：乌苏引领量价齐升 业绩超市场预期,新浪
178,2021-10-29,食品饮料2021年三季度基金持仓分析：板块持仓环比下降维持超配,新浪
179,2021-10-29,图解重庆啤酒三季报：第三季度单季净利润同比增0.20%,证券之星
180,2021-10-28,重庆啤酒：持续发力高端 前三季度业绩全面增长,中证网
181,2021-10-28,重庆啤酒第三季度营收同比增长23.89％ 高档产品持续发力,证券时报网
182,2021-10-28,重庆啤酒：前三季度净利10.44亿元，高档产品营收增超五成,新京报
183,2021-10-28,重庆啤酒前三季营收111.87亿元 同比增长23.89％,中国网
184,2021-10-28,重庆啤酒前三季度营业收入同比增长23.89%,北京商报
185,2021-10-28,重庆啤酒最新公告：第三季度净利4.22亿元 同比增0.2%,证券之星
186,2021-10-28,重庆啤酒公布三季报 前三季净利减少1.94%,新浪
187,2021-10-28,重庆啤酒(600132.SH)：第三季度净利增0.20%至4.22亿元,格隆汇
188,2021-10-28,交卷！重庆啤酒：2021年前三季度净利润约10.44亿元，同比下降1.94%,每日经济新闻
189,2021-10-28,快讯 | 重庆啤酒：Q3单季营收提高17.97%至40.48亿元，净利微增0.2%至4.22亿元,财经网
190,2021-10-28,重庆啤酒：公司董事长将于2022年2月28日退休 董监高成员变化,Wind
191,2021-10-28,重庆啤酒：前三季度净利润同比减少1.94% 盈利能力下降,Wind
192,2021-10-28,顶流基金经理白酒信仰现分歧：张坤重仓，刘彦春坚持，王宗合、焦巍目光投向科技,Wind
193,2021-10-27,日常消费周报：白酒双节旺季消费平稳 估值布局性价比高,新浪
194,2021-10-27,“夺命大乌苏”背后的大佬，重庆啤酒,36氪
195,2021-10-26,南财脱水研报｜啤酒板块迎来久违大涨，机构预期啤酒四季度或提价,21经济网
196,2021-10-26,“金句专业户”焦巍又反思：坦言自身投资模式现阶段或落后，也要减少噪音干扰，增加长期绝对回报,财联社
197,2021-10-26,解盘：百亿资金流入，锂电池、大基建、稀土、特斯拉领涨,Wind
198,2021-10-26,青岛啤酒涨停 啤酒股集体飙升,第一财经
199,2021-10-26,啤酒股集体大涨，青岛啤酒涨停，重庆啤酒大涨超8%,证券时报网
200,2021-10-26,青岛啤酒A股触及涨停，重庆啤酒、珠江啤酒、燕京啤酒等纷纷跟涨,Wind
201,2021-10-25,港A啤酒股“逆势上涨” 重庆啤酒涨近6%,格隆汇
202,2021-10-22,中信建投：啤酒高端化逻辑不变,智通财经
203,2021-10-18,食品饮料行业周报：秋糖反馈积极 白酒业绩稳健建议加配 食品环比改善关注需求,新浪
204,2021-10-12,白酒双节旺季平稳度过，三季报业绩有保障,金融界
205,2021-10-11,食品饮料行业周报：次高端旺季表现超预期 预计秋糖反馈积极 建议加配白酒,新浪
206,2021-10-11,食品、饮料与烟草专题报告：食品饮料行业2021年三季报业绩前瞻,新浪
207,2021-10-10,【中泰食品】周思考40：食品饮料板块Q3前瞻：白酒稳健、食品环比向好,食品饮料俱乐部
208,2021-09-29,食品饮料行业9月数据点评：白酒旺季平稳 啤酒提价兑现 奶价涨幅收窄,新浪
209,2021-09-28,食品饮料行业周报：次高端白酒Q3向好 调味品至暗已过,新浪
210,2021-09-28,白酒王者归来！有哪些“能涨抗跌”的消费基金？,养基司令
211,2021-09-27,食品饮料行业周报：茅台新董事长带来新气象 海天引领大众品反弹,新浪
212,2021-09-26,食品饮料行业动态报告：白酒中秋动销反馈积极 关注调味品提价预期,新浪
213,2021-09-23,食品饮料行业8月线上数据分析专题：8月白酒线上销售均价保持增长 啤酒线上销量略有提升,新浪
214,2021-09-22,“数据会说话”之2021年8月数据解读：8月疫情防控升级 社零增速不及预期,新浪
215,2021-09-22,食品饮料行业动态报告：白酒中秋旺季动销良好 板块景气延续,新浪
216,2021-09-22,食品饮料行业周报：中秋动销平稳白酒具备长期配置价值,新浪
217,2021-09-17,重庆啤酒：同意与嘉士伯、微软、德勤签署合同 投资建设ERP系统,中华网
218,2021-09-17,重庆啤酒：嘉士伯重庆啤酒拟投资约9981.1万元进行ERP系统建设,财联社
219,2021-09-17,重庆啤酒(600132.SH)子公司嘉士伯重庆啤酒拟投资建设ERP项目,智通财经
220,2021-09-17,日常消费周报：白酒龙头投资性价比高 关注中秋国庆旺季动销,新浪
221,2021-09-15,食品饮料行业周报：北京消费论坛总结 乳业盈利能力改善 卤味龙头门店加密,新浪
222,2021-09-15,重庆啤酒宜宾酒厂新建拉罐线投产 年产15万千升,上游新闻
223,2021-09-14,锂电巨头扩产投资超700亿！机构近一月大笔买入这些股,Wind
224,2021-09-07,食品饮料：震荡中寻求超预期机遇,新浪
225,2021-09-06,酒类股强势拉升，迎驾贡酒涨停创新高，重庆啤酒涨逾9%,证券时报网
226,2021-09-06,重庆啤酒新选董事系原喜力亚太董事总经理，机构扎堆前来交流,上游新闻
227,2021-09-05,食品饮料行业周报：白酒长期价值凸显 关注中秋旺季动销,新浪
228,2021-09-04,2021中报总结啤酒篇行业点评：高端化提速 盈利改善兑现,新浪
229,2021-09-01,富时罗素季度调整结果出炉，长城汽车、中远海控纳入富时中国A50指数,Wind
230,2021-09-01,北向资金净买入额创一个月新高连续8日加仓，伊利股份、贵州茅台净买入均超6亿元,Wind
231,2021-09-01,食品饮料行业跟踪周报：震荡中寻求超预期机遇,新浪
232,2021-09-01,重庆啤酒(600132)：核心单品全国化进展振奋人心 短期费用扰动不改长期发展逻辑,新浪
233,2021-08-31,食品饮料行业研究周报：食品数据确认时点临近 白酒中报分化显现,新浪
234,2021-08-30,北向资金连续6日净买入累计加仓近200亿，继续大手笔加码新能源股,Wind
235,2021-08-27,疫苗失意后，重庆啤酒又要梦碎了？,搜狐
236,2021-08-27,A股“爆雷”日！中报下周收关，几家欢喜几家愁,Wind
237,2021-08-24,北向资金买兴增强加仓超53亿元，隆基股份获大幅净买入超13亿元,Wind
238,2021-08-24,华鑫证券给予重庆啤酒审慎推荐评级：盈利能力持续提升，产品高端化推升整体毛利率,每日经济新闻
239,2021-08-24,重庆区域股市周报：2家重庆公司被调研 3.86亿融资净买入重庆股票,每日经济新闻
240,2021-08-24,啤酒概念持续走高，重庆啤酒涨近7%,36氪
241,2021-08-24,酒类股再度拉升，重庆啤酒涨逾6%，贵州茅台重返1600元上方,证券时报网
242,2021-08-24,食品饮料行业周观点：白酒企业被约谈引发市场走低 维稳出发点利好长期行业发展 其他违规处罚,新浪
243,2021-08-23,食品饮料行业研究周报：雾里看花待思辨 一壶浊酒尽余欢,新浪
244,2021-08-23,晚间重要公告2021年8月23日星期一,Wind
245,2021-08-23,周谈 | Weekly Talk：雾里看花待思辨，一壶浊酒尽余欢,食品饮料光头阳线
246,2021-08-23,重庆啤酒龙虎榜数据(8月23日）,Wind
247,2021-08-23,知名游资“赵老哥”买入江特电机1.45亿元，机构调仓有机硅板块,阿尔法工场
248,2021-08-23,交易异动！重庆啤酒：不存在应披露而未披露的重大信息,每日经济新闻
249,2021-08-23,重庆啤酒(600132.SH)股价异动 不存在未披露事项,智通财经
250,2021-08-23,重庆啤酒：连续大跌、股价异动，无应披露而未披露事项,Wind
251,2021-08-23,A股大幅反弹北向资金加仓超18亿，持续加码高景气板块,Wind
252,2021-08-23,食品饮料行业周报(第三十三周),新浪
253,2021-08-23,中泰证券：维持重庆啤酒(600132.SH)“买入”评级 销量增长环比放缓 盈利能力下降,智通财经
254,2021-08-23,重庆啤酒半年复盘：乌苏疆外增速近9成，没有千元啤酒上市计划,财经网
255,2021-08-23,重庆啤酒盘中快速下跌,新浪
256,2021-08-23,食品饮料：震荡中寻求超预期机遇,新浪
257,2021-08-23,重庆啤酒二季度净利下滑20%，连续两天跌停，机构称费用暂扰无虞！ 盈利能力下降,中金在线
258,2021-08-23,中信证券：食品饮料回调中关注安全边际+优质标的,Wind
259,2021-08-23,食品饮料行业周观点：板块回调中关注安全边际优质标的,新浪
260,2021-08-22,【开源食饮】白酒市场规范秩序，啤酒升级势头正盛,宇光看食饮
261,2021-08-22,浙商证券首次给与重庆啤酒买入评级,北京商报
262,2021-08-22,浙商证券首予重庆啤酒买入评级，重庆啤酒深度报告：嘉士伯赋能西部龙头，“网红”乌苏迈向“长红”,每日经济新闻
263,2021-08-22,重庆啤酒披露半年报，该公司总裁详解为何营收增长净利却下降 盈利能力下降,奥一网
264,2021-08-22,搜狐快消周报丨白酒市场监管座谈会召开；呷哺呷哺将关闭200家亏损门店 亏损,搜狐
265,2021-08-21,中国啤酒品牌的高端时代何时到来？,Wind
266,2021-08-20,警惕！财报日成业绩“爆雷”日，这些“白马股”股价或继续下跌！,红周刊
267,2021-08-20,半年报不及预期，连续两日跌停 重庆啤酒市值蒸发180亿 盈利能力下降,经济观察报
268,2021-08-20,重庆啤酒股价两跌停，总裁详解为何半年报净利润会下降 盈利能力下降,第一财经
269,2021-08-20,渝股看台 | 重庆啤酒“增收不增利”连续跌停，有机构2.3亿扫货 盈利能力下降,上游新闻
270,2021-08-20,重庆啤酒龙虎榜数据（8月20日）,Wind
271,2021-08-20,分歧出现，机构疯买，外资却狂卖1.4亿，这只啤酒股已吃两个跌停,证券之星
272,2021-08-20,无惧大盘调整，绩优科创板个股“风景独好”,Wind
273,2021-08-20,重庆啤酒跌停 沪股通净卖出,e公司
274,2021-08-20,重庆啤酒不推天价啤酒 山城品牌销量增长 继续打造新一线品牌,上游新闻
275,2021-08-20,机构跌哭了！2则大消息引发“惨案”,Wind
276,2021-08-20,59公司获得增持评级-更新中,中财网
277,2021-08-20,西南证券：维持重庆啤酒(600132.SH)“买入”评级 高端收入爆发式增长,智通财经
278,2021-08-20,什么情况？A股突发大跳水！医药大跌，茅台被砸4%,Wind
279,2021-08-20,重庆啤酒(600132)：高端占比达单季最高水平 增长进入新阶段,新浪
280,2021-08-20,重庆啤酒跌停，是业绩差还是强敌多,投中网
281,2021-08-20,茅台再创阶段新低，机构称白酒股回调即是布局机会,Wind
282,2021-08-20,华润、青啤、燕京等啤酒企业纷纷争抢高端赛道,发现网
283,2021-08-20,【异动股】酿酒行业板块低开，重庆啤酒(600132.CN)跌10.0%,财华社
284,2021-08-20,重庆啤酒(600132)：全国化扩张业绩短期承压 不影响长期升级趋势,广发证券
285,2021-08-20,【重庆啤酒（600132.SH）】乌苏全国化稳步推进中——2021年中报点评（陈彦彤）,光大证券
286,2021-08-20,136股获券商买入评级，金能科技目标涨幅达115.80%,Wind
287,2021-08-20,高景气赛道股卷土重来，市场重现“跷跷板”效应,Wind
288,2021-08-20,啤酒企业纷纷争抢高端赛道 群雄逐鹿竞争升级,证券日报
289,2021-08-19,发生了什么？铁矿石暴跌，欧股全线重挫…港股科技股也跌惨了，恒生科技指数再创新低,证券时报
290,2021-08-19,25.42亿元 增长62.29% 重庆啤酒高端化初见成效,糖酒快讯
291,2021-08-19,跌停板解密：高位出逃，多只前期强势股被大单抛售！（8月19日）,Wind
292,2021-08-19,北向资金年内第三次单日净卖出超百亿，中国平安遭大幅抛售超18亿,Wind
