,2021-12-29,晚间重要公告2021年12月29日星期三,Wind
35,2021-12-05,公用周报：江苏首批平价海风项目启动竞争性配置 第二批内陆风电光伏大基地项目开始上报,新浪
36,2021-11-29,公用事业行业周报：政策推动下电煤矛盾持续缓和 全国统一电力市场呼之欲出,新浪
37,2021-11-28,公用周报：省间电力现货交易规则出台 三峡能源发布股权激励计划,新浪
38,2021-11-26,公用环保行业周报：10月用电需求继续强劲南网发布十四五规划,新浪
39,2021-11-26,公用环保行业重点事项点评：省间现货交易意义重大 新能源消纳再添保障,新浪
40,2021-11-25,电力月谈：2021年11月期,新浪
41,2021-11-21,公用环保行业周报：坚定看好火电转型新能源逻辑 不惧调整静待花开,新浪
42,2021-11-21,公用事业行业周报：10月数据点评：用电持续高增 风光发展提速,新浪
43,2021-11-18,华能水电：公司使用OA办公系统,Wind
44,2021-11-10,公用事业行业深度报告：电价市场化与电力清洁化促行业发展,新浪
45,2021-11-10,前三季度水电业绩整体下滑 盈利能力下降,中国能源报
46,2021-11-09,逻辑推演与实证研究的多维视角：碳中和下的电力需求韧性来自哪里,新浪
47,2021-11-08,电力：煤炭供需格局显著放松 煤价回落火电基本面持续好转,新浪
48,2021-11-05,公用事业2021年三季报总结：火电盈利大幅下滑 风光新能源业绩向好 盈利能力下降,新浪
49,2021-11-04,2021年中国水电发电量及重点上市企业对比分析：长江电力龙头优势明显,国际电力网
50,2021-11-03,解盘：资金小额流入，饲料、猪鸡肉、血液制品、煤炭领涨,Wind
51,2021-11-03,【行情】电力板块反弹拉升，恒盛能源涨停，世茂能源、华能水电、国投电力、中国核电、闽东电力、金房节能、福能股份、乐山电力等涨幅居前,金十数据
52,2021-11-02,ESG基金继续重仓新能源，百亿级产品三季度表现更优,Wind
53,2021-11-01,【建投公用环保】市场煤价快速回落，火电至暗时刻已过,能源交运万维网
54,2021-11-01,三季度公用事业持仓分析,郭丽丽的研究札记
55,2021-11-01,华能水电：发电量下滑致第三季度业绩下降26.7% 盈利能力下降,郭丽丽的研究札记
56,2021-11-01,私募大佬放大招！看邓晓峰、冯柳、裘国根等最新持仓,Wind
57,2021-10-30,券商资管三季度持仓出炉，“隐形牛股”涨幅超过100%！,Wind
58,2021-10-29,华能水电(600025)：水情偏弱电量下滑致业绩收窄 长期关注高度市场化下电价弹性 盈利能力下降,新浪
59,2021-10-29,华能水电盈利双增，前三季实现净利润48.62亿元,资本邦
60,2021-10-28,华能澜沧江水电股份有限公司 2021年第三季度报告,证券日报
61,2021-10-27,晚间重要公告2021年10月27日星期三,Wind
62,2021-10-27,华能水电公布三季报 前三季净利增加11.85%,新浪
63,2021-10-27,图解华能水电三季报：第三季度单季净利润同比减26.73% 盈利能力下降,证券之星
64,2021-10-27,华能水电(600025.SH)：第三季度净利降26.73%至21.68亿元 盈利能力下降,格隆汇
65,2021-10-27,华能水电：第三季度净利21.68亿元 同比降26.73% 盈利能力下降,e公司
66,2021-10-27,华能水电：2021年第三季度净利润约21.68亿元，同比下降26.73% 盈利能力下降,每日经济新闻
67,2021-10-27,华能水电：第三季度净利同比下降26.73% 盈利能力下降,财联社
68,2021-10-27,华能水电：前三季度净利润同比增长11.85%,Wind
69,2021-10-27,连续四日新股首日破发！新锐股份中1签亏4000元,Wind
70,2021-10-26,公用周报：广东等多省份颁布电价市场改革通知 21Q1-Q3风电光伏分别新增装机16.4、25.7GW,新浪
71,2021-10-26,公用事业点评报告：“双碳”顶层设计重磅出台 行业迎来机制改革共振成长曲线,新浪
72,2021-10-25,电力：九月电力生产有所加快 双管齐下火电基本面确定性好转,新浪
73,2021-10-25,公用事业行业：火电需求维持强势 风光装机高速增长幅收窄,新浪
74,2021-10-22,华能水电(600025.SH)第三期绿色超短期融资券发行额为5亿元,智通财经
75,2021-10-19,首席周观点：能源风险上升,新浪
76,2021-10-18,“发电侧”加速储能 文山电力启动资产置换华能水电加快绿能发电,证券日报网
77,2021-10-18,电力行业周报：火电电价机制改革加速深化 江苏山东交易价格已接近20%上限,新浪
78,2021-10-18,公用环保行业周报：江苏山东首次交易电价顶格上浮 2022年电价谈判结果保持乐观,新浪
79,2021-10-18,公用事业行业周报：电价上浮落地叠加煤炭保供推进 行业经营压力或将缓和,新浪
80,2021-10-17,公用周报：深化煤电电价市场化改革政策落地 前9月全社会用电量累计同比+12.9%,新浪
81,2021-10-15,公用事业三季度业绩前瞻：煤电利润触底 新能源业绩高增,新浪
82,2021-10-15,华能水电(600025.SH)完成发行共15亿元2021年度第十三期和第十四期超短期融资券,智通财经
83,2021-10-15,公用事业行业：高温叠加需求改善 用电增速触底反弹,新浪
84,2021-10-15,华能水电：公司属于绿色电力体系,Wind
85,2021-10-13,公用事业行业：电价改革持续推进 市场电比例大幅提高,新浪
86,2021-10-12,公用事业行业周报：正价差时代开启 电价趋势性上行,新浪
87,2021-10-12,华能水电龙虎榜数据(10月12日）,Wind
88,2021-10-12,华能水电三日跌20.02%，机构资金净卖1.8亿元,证券之星
89,2021-10-12,交易异动！华能水电：近3个交易日下跌20.02%,每日经济新闻
90,2021-10-12,A股收盘综述：煤炭期货、股票走势背离困扰市场，钢铁、燃气、券商、稀土大幅调整,Wind
91,2021-10-12,华能水电10月12日快速反弹,红周刊
92,2021-10-12,市场策略报告：首席周观点 限电影响暂缓,新浪
93,2021-10-11,20股突然闪崩跌停，强势板块重挫！军工银行股大爆发,Wind
94,2021-10-11,国泰君安：电价上涨趋势明确，电力板块价值重估,Wind
95,2021-10-11,每日理财观察：投资者踊跃申请开通北交所交易权限,Wind
96,2021-10-09,公用事业行业点评：电价改革加速推进 电力运营商有望充分受益,新浪
97,2021-10-09,晚讯：碧水源拟减持武汉控股不超1％股份 美团将全面深入自查整改,腾讯网
98,2021-10-08,跌停板解密：资金高位出逃，15只前期强势股封住跌停！（10月8日）,Wind
99,2021-10-08,华能水电(600025.SH)前三季度完成发电量751.83亿千瓦时 同比增加4.29%,格隆汇
100,2021-10-08,华能水电：前三季度发电量同比增加4.29%,财联社
101,2021-10-08,A股收盘综述：电、煤、新能源暂时降温，资金涌入保险和农林牧渔板块,Wind
102,2021-10-08,翻倍牛股闪崩跌停！白酒股强势归来，华夏幸福涨停,Wind
103,2021-10-08,爆拉7%！中国平安崛起，保险股大回血，什么情况？,Wind
104,2021-10-08,煤炭电力股大跌：千亿巨头闪崩跌停！大蓝筹崛起,Wind
105,2021-10-08,解盘：消费、金融强势，保险、猪鸡肉、航空、白酒领涨,Wind
106,2021-10-08,A股午盘综述：保险、白酒、猪肉股崛起，电、煤、光伏、稀土、锂集体调整,Wind
107,2021-10-08,公用环保行业周报：限电潮后深化改革信号渐强 改变电力行业底层投资逻辑,新浪
108,2021-10-08,快讯：华能水电跌停 报于7.69元,金融界
109,2021-10-08,A股早报2021年10月8日星期五,Wind
110,2021-10-08,每日理财观察：公募基金规模连续第5个月创历史新高,Wind
111,2021-09-30,电力行业：电力紧张延续 新能源发电重塑供给格局,新浪
112,2021-09-30,金融街下午茶2021年9月30日星期四,Wind
113,2021-09-30,涨停板解密：市场全面反攻，三板块个股掀涨停潮！（9月30日）,Wind
114,2021-09-30,疯狂电力再现涨停潮，下一个翻倍股是谁？,证券之星
115,2021-09-30,9月30日华能水电涨停分析：水电，央企改革，国企改革概念热股,证券之星
116,2021-09-30,A股收盘综述：两市万亿成交额记录终止，锂电激活题材炒作、煤钢电卷土重来,Wind
117,2021-09-30,快讯：华能水电涨停 报于8.54元,金融界
118,2021-09-30,电力板块午后持续拉升 华能水电等封板,上证报
119,2021-09-30,华能水电午后上板，水电板块重新扩大升幅,Wind
120,2021-09-30,【行情】电力股午后继续走强，华能水电、金开新能午后拉升封板，闽东电力、乐山电力回封，桂冠电力、华能国际、豫能控股等冲高,金十数据
121,2021-09-30,北向资金动向盘点：连续第四日净买食品饮料,Wind
122,2021-09-29,北向资金结束连续3日净买入，宝钢股份净卖出额创新高,Wind
123,2021-09-29,电力行业能耗双控行业深度：电价上涨 破解能耗双控及限电难题胜负手,新浪
124,2021-09-29,碳排放权期货上线在即？碳市场将补充关键一环,搜狐
125,2021-09-29,华能水电：目前公司售电暂不受影响，9月以来，澜沧江上游电站机组满负荷运行,每日经济新闻
126,2021-09-29,华能水电：公司属于绿色电力体系，目前风电光伏项目有能力进行绿电交易,每日经济新闻
127,2021-09-29,A股早报2021年9月29日星期三,Wind
128,2021-09-29,能源板块再上行，消费酿酒一日游,国盛证券
129,2021-09-28,涨停板解密：供不应求，煤电油气股掀涨停潮！（9月28日）,Wind
130,2021-09-28,9月28日华能水电涨停分析：水电，央企改革，国企改革概念热股,证券之星
131,2021-09-28,A股收盘综述：气、电、煤、油四大热点主导炒作，地产金融同步复苏,Wind
132,2021-09-28,快讯：华能水电涨停 报于7.83元,金融界
133,2021-09-28,华能水电封住涨停，水电板块持续拉升,Wind
134,2021-09-28,蜡烛生产商称订单增数10倍、电力板块再度活跃,Wind
135,2021-09-28,首席周观点：限电考验定力,新浪
136,2021-09-26,公用事业行业周报：能耗双控下 加大新能源电力消纳为必由之路,新浪
137,2021-09-26,公用事业行业周报：煤炭保供稳价及电价政策频出 限电问题有望缓解,新浪
138,2021-09-26,公用事业周报：多省份大面积限电停产 两部委强化电厂7天安全存煤底线 经营问题,新浪
139,2021-09-26,电力指数五周劲升26%，绿电掀起飓风、机构喊话价值重估,Wind
140,2021-09-23,A股早报2021年9月23日星期四,Wind
141,2021-09-23,每日理财观察：银行监管评级办法发布，涵盖七级别九要素,Wind
142,2021-09-23,史无前例！一大批公司限产，牛股核心工厂全面停产,Wind
143,2021-09-22,金融街下午茶2021年9月22日星期三,Wind
144,2021-09-22,A股房地产逆风翻盘，情况有变？3大转机降临,Wind
145,2021-09-22,华能水电(600025.SH)：云南省能源投资集团解质4.6亿股,格隆汇
146,2021-09-22,A股收盘综述：电力股批量封板、神华兖煤涨停，一线地产股柳暗花明,Wind
147,2021-09-22,A股主力净流入逾100亿、超跌高景气股票名单出炉,Wind
148,2021-09-22,快讯：华能水电涨停 报于7.95元,金融界
149,2021-09-22,华能水电首板,Wind
150,2021-09-21,公用事业周报：8月全社会总电量累计同比+13.8% 发改委印发《完善能源消费强度和总量双控制度方案》,新浪
151,2021-09-19,全社会用电总量持续增加 华能水电再冲历史高点,格隆汇
152,2021-09-19,陆家嘴财经早餐2021年9月19日星期日,Wind
153,2021-09-17,电力行业发改委能源双控方案点评：可再生能源豁免 利好绿电交易及新能源运营商,新浪
154,2021-09-17,新一批“电改”在路上，新能源发电全面爆发,Wind
155,2021-09-17,A股收盘综述：市场高抛煤、钢、稀土、锂，“吃药喝酒”局面再现或因基金纠正风格漂移,Wind
156,2021-09-17,医疗白酒大爆发，4000亿巨头狂拉9%！煤炭跌7%,Wind
157,2021-09-16,公用事业点评报告：高基数叠加偏弱需求 发用电量增速有所回落,新浪
158,2021-09-15,中国短期融资券及中期票据信用分析周报,新浪
159,2021-09-15,公用事业行业简评报告：全国绿色电力交易试点启动,新浪
160,2021-09-15,华能水电(600025.SH)完成发行10亿元超短期融资券,智通财经
161,2021-09-13,华能水电：公司在澜沧江水电站项目开发均由国家发改委核准批复，电站设计均通过可行性研究批复，抗震等因素已在电站可研设计范围内,每日经济新闻
162,2021-09-13,华能水电：完成发行20亿元超短期融资券,财联社
163,2021-09-13,华能水电(600025.SH)2021年度第十一期超短期融资券的发行规模为20亿元,智通财经
164,2021-09-13,公用事业行业：两部委推动绿电交易试点 《抽水蓄能中长期发展规划(2021-2035年)》印发实施,新浪
165,2021-09-10,抽水蓄能中长期发展规划点评：抽水蓄能迎来发展空间看好水电运营商在新机制下获取合理回报,新浪
166,2021-09-09,抽水储能领域迎重磅利好，北上资金看好这些股(附股),中财网
167,2021-09-09,A股早报2021年9月9日星期四,Wind
168,2021-09-09,每日理财观察：理财公司理财产品流动性风险管理办法拟出台,Wind
169,2021-09-08,中国短期融资券及中期票据信用分析周报,新浪
170,2021-09-08,涨停板解密：资金热捧，“元宇宙”概念全面火爆！（9月8日）,Wind
171,2021-09-08,9月8日华能水电涨停分析：水电，国企改革，央企改革概念热股,中金在线
172,2021-09-08,A股收盘综述：上证指数于3700关口前蓄势，元宇宙、电力、煤炭板块持续火热,Wind
173,2021-09-08,公用事业行业周报：持续推荐有成长性的新能源及火电转型标的,新浪
174,2021-09-08,电力公司现批量涨停，周期股为何一路“狂飙”？,Wind
175,2021-09-08,快讯：华能水电涨停 报于6.93元,金融界
176,2021-09-08,【行情】电力板块午后持续走强，黔源电力涨超9%，华能水电、华银电力、永泰能源、中国广核等跟涨,金十数据
177,2021-09-08,电力股午后掀涨停潮，华能水电等十余股封板,36氪
178,2021-09-08,2万亿板块狂飙，千亿巨头涨停！茅台大跌，千亿光伏崩了,Wind
179,2021-09-08,电力股掀涨停潮，绿电交易开启，百亿规模利好新能源运营商,第一财经
180,2021-09-07,电价只降不涨惯性打破，板块价值将重估,金融界
181,2021-09-05,专精特新还是核心资产？顶流私募最新投资思路曝光,Wind
182,2021-09-05,环保公用行业周报：碳中和重塑电力行业格局 电价调整吹响A股电力价值重估号角,新浪
183,2021-09-05,光伏后又一风口来了？行业近期已大爆发，7股率先创新高,Wind
184,2021-09-04,光伏之后大风口！7股创新高，业绩翻倍股名单出炉,Wind
185,2021-09-04,环保公用行业2021年中报总结：21Q2板块基金持仓环比-0.17PCT 新能源发电板块领涨,新浪
186,2021-09-03,华能水电：目前澜沧江流域为主汛期，尚处于蓄水阶段，预计10月末汛期结束,每日经济新闻
187,2021-09-03,新能源运营行业点评：风光水火储一体化大基地或为下阶段新能源开发重点,新浪
188,2021-09-02,电力行业重大事项点评：电价上浮限制陆续放开 电力迎来全面红利,新浪
189,2021-09-02,华能水电：目前公司已投产风电光伏装机容量合计23.5万千瓦,Wind
190,2021-09-02,私募大佬最新持股曝光！冯柳、邓晓峰500亿重仓这些票,Wind
191,2021-09-01,华能水电上半年净利润增长近一倍,北极星电力
192,2021-09-01,云南35家上市公司上半年盈利 华能水电以净利润26.94亿元排第一,春城晚报
193,2021-08-30,华能水电(600025)2021年中报点评：电量回升带动业绩大增 交易电价持续向好,新浪
194,2021-08-30,华能水电：水电量价齐升，财务费用持续优化,郭丽丽的研究札记
195,2021-08-30,平安证券维持华能水电推荐评级：前期蓄能推动盈利修复,每日经济新闻
196,2021-08-30,公用环保行业周报：发改委完善电解铝阶梯电价政策利好新能源发电,新浪
197,2021-08-29,上市公司中报披露进入密集期，多位私募大佬最新持股浮出水面,Wind
198,2021-08-29,公用事业周报：发改委鼓励电解铝企业提高新能源电源利用水平 7月天然气进口量同比+27.0%,新浪
199,2021-08-29,华能水电(600025)2021年中报点评：业绩超预期 远期有成长,新浪
200,2021-08-28,上市公司正负面新闻2021年8月28日星期六,Wind
201,2021-08-28,华能水电(600025.SH)：上半年净利增94.11%至26.94亿元,格隆汇
202,2021-08-28,华能水电：半年度营业收入98.58亿元，同比增长22.14%,和讯
203,2021-08-27,晚间重要公告2021年8月27日星期五,Wind
204,2021-08-27,华能水电：董事会同意选举董事苏劲松为公司副董事长及董事会战略与决策委员会委员,每日经济新闻
205,2021-08-27,华能水电：2021年半年度净利润约26.94亿元，同比增加94.11%,每日经济新闻
206,2021-08-27,华能水电：提名吴余生先生为公司董事候选人,每日经济新闻
207,2021-08-27,华能水电(600025.SH)选举苏劲松为副董事长等,智通财经
208,2021-08-27,华能水电半年报：上半年净利润26.94亿元 同比增长94%,财联社
209,2021-08-27,华能水电：上半年净利润同比增长94.11%,Wind
210,2021-08-27,华能水电：更换公司董事 董监高成员变化,Wind
211,2021-08-26,华能水电：公司年发电量近千亿千瓦时,Wind
212,2021-08-26,华能水电：公司年发电量近千亿千瓦时,每日经济新闻
213,2021-08-26,华能水电：雅鲁藏布江相关项目开发不属于华能水电,每日经济新闻
214,2021-08-26,华能水电：公司在澜沧江流域水电站暂无考虑抽水蓄能发电,每日经济新闻
215,2021-08-20,碧桂园?美好中国ESG100指数完成2021年度调仓,新浪
216,2021-08-16,公用事业行业周报：电力供需紧张叠加高煤价 加快电价机制改革,新浪
217,2021-08-15,公用事业周报：七月用电量同比高增12.8% 国家鼓励可再生能源企业增强调峰或储能能力,新浪
218,2021-08-11,华能水电：公司与中国华能集团水电解制氢项目无关联,每日经济新闻
219,2021-08-11,华能水电：公司目前在建项目为托巴水电站,Wind
220,2021-08-09,公用事业行业周报：“十四五”我国煤电装机或增容控量,新浪
221,2021-08-08,公用事业周报：8月云南省内交易电价同比+1分 国内首个天然气制氢加氢一体站试运行,新浪
222,2021-08-08,环保公用行业周报：市场化交易电价全线上涨 未来电价有望进入上行通道,新浪
223,2021-08-05,云南区域股市周报：市值前十公司大洗牌，恩捷股份稳居市值冠军,每日经济新闻
224,2021-08-05,财信证券电力行业2021年8月月度报告：中报预增，新能源运营商维持高景气度,财信证券研究
225,2021-08-04,公用事业行业信息点评：强化需求侧管理 提升系统灵活性,新浪
226,2021-08-02,公用事业行业周报：完善分时电价政策 新能源发电再迎机遇,新浪
227,2021-08-02,福能股份(600483)：坐拥台海优质风资源 海上风电龙头扬帆起航,新浪
228,2021-08-01,公用环保行业周报：峰谷价差显着扩大 利好灵活性电源及储能,新浪
229,2021-07-30,国家发改委完善分时电价机制点评：峰谷价差显着扩大 利好灵活性电源及储能,新浪
230,2021-07-30,公用事业行业点评：分时电价机制优化 助力能源转型提速,新浪
231,2021-07-30,电力行业点评：分时电价削峰填谷 电网减负、储能加码,新浪
232,2021-07-28,融资客青睐7股，上海九百买入占比高达46.23%,Wind
233,2021-07-26,板块仍处于低配，碳中和带来新机遇,郭丽丽的研究札记
234,2021-07-24,上半年各省电力负荷屡创新高，广东、江苏等负荷过亿,Wind
235,2021-07-23,电力行业6月电力数据月报：用电量增速略有放缓 水电转枯火核增发,新浪
236,2021-07-23,云南省7家上市公司进入全国500强,春城晚报
237,2021-07-19,绿色能源与大宗商品月报(2021年7月),新浪
238,2021-07-19,公用事业2021年中报业绩前瞻：煤电普遍承压 关注新能源高成长,新浪
239,2021-07-18,公用周报：6月全社会用电总量同比+9.8% 天然气产量同比+13.1%,新浪
240,2021-07-16,公用事业点评报告：来水偏枯限制水电出力 旺盛需求拉动火电增速回升,新浪
241,2021-07-16,碳中和系列报告09：碳中和背景下，云南水电价值有望重估,郭丽丽的研究札记
242,2021-07-15,兴论碳中和系列4：全国碳交易启动在即 碳资产影响力长期提升,新浪
243,2021-07-13,华能水电(600025.SH)：成功发行10亿元超短期融资券,格隆汇
244,2021-07-13,华能水电(600025.SH)完成发行10亿元2021年度第九期超短期融资券,智通财经
245,2021-07-13,财信证券电力行业2021年6月月度报告：关注业绩预增和碳交易市场带来的投资机会,财信证券研究
246,2021-07-09,舒印彪：“新能源成为公司最主要的利润来源”【附上半年签约清单】,北极星电力
247,2021-07-06,公用事业周报：前5月全国市场化累计交易电量同比+47.8% 华能水电2021H1业绩同比预增88%-108%,新浪
248,2021-07-06,华能水电(600025)21H1经营数据点评：21H1公司电力业务量价齐升 业绩预增88%-108%,新浪
249,2021-07-06,公用事业行业简评报告：能源清洁化是双碳行动的核心,新浪
250,2021-07-05,首席周观点：继续多债券 空商品,新浪
251,2021-07-05,大宗商品行业周报：绿色能源与大宗商品周报(2021年第9期),新浪
252,2021-07-04,水电密集投产，板块迎重大拐点,郭丽丽的研究札记
253,2021-07-04,电力行业二季度前瞻：水平稳火承压 新能源大放异彩,新浪
254,2021-07-03,华能水电预计上半年业绩倍增,证券日报
255,2021-07-02,用电需求旺盛，两家电力公司上半年业绩报喜,新浪
256,2021-07-02,华能水电(600025.SH)上半年完成发电量456.55亿千瓦时 同比增长22.18%,格隆汇
257,2021-07-02,华能水电(600025.SH)上半年完成发电量同比增加22.18%,智通财经
258,2021-07-02,华能水电：2021年上半年完成发电量456.55亿千瓦时同比增加22.18%,财联社
259,2021-07-01,华能水电(600025)：1H21盈利预增88-108% 略超市场预期,新浪
260,2021-07-01,华能水电：量价齐升，半年报业绩预增超预期,郭丽丽的研究札记
261,2021-07-01,华能水电(600025)：量价表现优异 上半年业绩大幅增长,新浪
262,2021-06-30,全国首单“碳中和+乡村振兴”双贴标超短期融资券落地云南,经济日报
263,2021-06-30,晚间重要公告2021年6月30日星期三,Wind
264,2021-06-30,晚间公告｜6月30日这些公告有看头,第一财经
265,2021-06-30,华能水电：上半年预计净利润同比增长88.0%~108.0%,Wind
266,2021-06-30,预增！华能水电：预计2021年上半年净利润增加约12.29亿元到15.04亿元,每日经济新闻
267,2021-06-30,华能水电(600025.SH)半年度归母净利润同比预增88%至108%,智通财经
268,2021-06-30,华能水电：上半年净利润预计同比增加88%到108%,e公司
269,2021-06-30,华能水电(600025.SH)：上半年净利预增88%到108%,格隆汇
270,2021-06-30,华能水电：预计上半年净利润同比增长88%至108%,Wind
271,2021-06-30,华能水电：预计上半年净利同比增加88%-108%,财联社
272,2021-06-30,电力电气设备、公用事业、节能环保行业2H21电力新能源策略：聚焦光伏转折 关注新能源运营长期成长性,新浪
273,2021-06-30,周三证券 | 提价预期激活电力股做多热情,金融投资报
274,2021-06-29,碳中和背景下电价机制改革展望：限电或倒逼电改 电价打开向上弹性,新浪
275,2021-06-29,华能水电(600025.SH)完成发行5亿元2021年度第二期绿色超短期融资券,智通财经
276,2021-06-29,公用事业行业跟踪报告：电力商品属性强化 价值有望重估,新浪
277,2021-06-29,公用事业行业周报：7月煤价或下行 火电盈利拐点可期,新浪
278,2021-06-28,“跷跷板效应”下的煤炭和电力，后市如何走？,Wind
279,2021-06-28,创业板大涨：“一哥”狂拉570亿，芯片股嗨了！,Wind
280,2021-06-28,解盘：百亿资金流入，农业、CRO、医疗器械、半导体领涨,Wind
281,2021-06-27,水电“高速公路”日臻完善,郭丽丽的研究札记
282,2021-06-27,云南区域股市周报：6家机构调研南天信息 太平洋进入板块市值10强,每日经济新闻
283,2021-06-24,全社会用电量继续增长，深圳再创历史新高,Wind
284,2021-06-24,融资客青睐11股，北辰实业买入占比高达43.98%,Wind
285,2021-06-24,中信证券：5月单月全社会用电量同比增长12.5%，继续维持高景气,证券时报网
286,2021-06-23,2021年下半年公用事业投资策略：电力供需全面趋紧看好清洁能源龙头,新浪
287,2021-06-22,中药龙头比茅台多涨16倍！看A股优质稀缺龙头30强,Wind
288,2021-06-21,水电联合调度增益几何？,郭丽丽的研究札记
289,2021-06-19,公用环保行业周报：江苏上调峰段电价 限电有望倒逼电改,新浪
290,2021-06-17,公用行业2021年度中期投资策略：“双碳”新篇 变中求进,新浪
291,2021-06-17,华能水电(600025.SH)成功发行10亿元超短融,格隆汇
292,2021-06-17,华能水电(600025.SH)完成发行10亿元2021年度第八期超短期融资券,智通财经
293,2021-06-16,中国短期融资券及中期票据信用分析周报,新浪
294,2021-06-16,首席周观点：光伏产业柳暗花明景气重启 海风地补落地确定性夯实,新浪
295,2021-06-15,环保公用行业周报：利好因素接连落地 新能源运营向上进击,新浪
296,2021-06-15,海通证券研究所早报,新浪
297,2021-06-11,发钱啦！华能水电2020年权益分派实施公告,北极星电力
298,2021-06-11,发改委调整新能源上网电价政策，机构建议三条路径布局投资机会,第一财经
299,2021-06-10,华能水电(600025.SH)2020年度权益分派10派1.6元 股权登记日为6月17日,格隆汇
300,2021-06-10,华能水电(600025.SH)完成发行20亿元超短期融资券,智通财经
301,2021-06-10,华能水电(600025.SH)将于6月18日分红 每股派0.16元,智通财经
302,2021-06-09,中国短期融资券及中期票据信用分析周报,新浪
303,2021-06-08,海通证券研究所早报,新浪
304,2021-06-07,来水偏枯是用电紧张的主要因素吗？,郭丽丽的研究札记
305,2021-06-07,公用事业行业周报：一季度能源双控结果出炉 低碳发展仍任重道远,新浪
306,2021-06-03,云南区域股市周报：新增1家上市公司 24家机构调研云南白药,每日经济新闻
307,2021-06-03,华能水电光伏布局开启 澜沧江2000MW光伏项目可研阶段勘察设计招标,集邦新能源网
308,2021-06-01,公用事业行业周报：缺电加速电改 电企估值或重塑,新浪
309,2021-05-31,绿色能源与大宗商品周报：(2021年第4期),新浪
310,2021-05-31,公用事业行业周报：全国碳市场即将启动 新能源发电有望受益,新浪
311,2021-05-31,华能水电：公司目前没有抽水蓄能项目,每日经济新闻
312,2021-05-29,环保公用行业周报：可再生能源电力消纳责任权重政策发布 绿色金融保驾护航,新浪
313,2021-05-28,晨会0528｜主题策略/通信下半年投资策略,中信证券研究
314,2021-05-28,电力｜如何理解新形势下的电荒及现货电价大涨？,中信证券研究
315,2021-05-27,5月27日晚间重要行业研究汇总(附股),中金在线
